TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl),,
20,No stimuli,0.385417,5.4,1000,11.76,2.62,3768,-3.3809024,0.967714,7.735071,14.83368,7.9612492,1.857784096,2.233804964,8.303623529,3.202725036,12.62425728,926.08,21.4,-271.2,1768.8,1709.76,13.49593496,0.216322517,0.571635311,4.979591837,10.13623978,,
21,No stimuli,0.383681,4,,,,,,,,,,,,,,,,,   ,,,,,,,,,
22,No stimuli,0.351042,4,,,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.360764,4,,,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.362153,4,,,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.327083,4,,,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.335417,4,,,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.297917,4,,,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.322222,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.267708,4,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.252083,4,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.261458,4,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.576042,34.4,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.524653,66.4,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.376736,58.6,,,,,,,,,,,,,,,,,,,,,,,,,,
