TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_SI(aam),G_AUC(aam),G_SI(aam),I_AUC(Glu3),I_SI(Glu3),G_AUC(Glu3),G_SI(Glu3),I_AUC(G16.7),I_SI(G16.7),G_AUC(G16.7),G_SI(G16.7),I_AUC(ibmx),I_SI(ibmx),G_AUC(ibmx),G_SI(ibmx),I_AUC(kcl),I_SI(kcl),G_AUC(kcl),G_SI(kcl)
20,No stimuli,0.974653,57.6,,,,,-1.2084762000000033,2.639593312302444,2229.4399999999996,3.4071550255536627,1.696529,1.3820758433606106,156.19999999999982,0.8201523140011716,35.91076000000001,7.188575236586903,-554.9999999999991,0.6291390728476821,52.54167100000001,2.521703582288598,2300.2,2.6151631477927064,35.6675728,19.3106414940287,3192.96,11.185682326621924
21,No stimuli,0.826389,49.2,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.845833,45.6,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.768056,44.4,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.724306,35.2,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.911458,42,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.712153,54.8,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.734028,54.4,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.765625,38.8,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.707292,44.8,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.748611,50.8,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.697569,60.4,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),1.344097,127.2,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),2.022222,160,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),1.346528,160,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),1.091319,160,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.848264,143.6,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.746181,127.2,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.814236,120,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.753472,104.8,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.563889,111.6,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.704861,110.4,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.641667,101.6,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.673264,86.8,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.712153,78.4,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.719444,100.8,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.563889,118.4,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.627083,106,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.605208,103.2,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.631944,112,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.597917,117.2,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.551736,112.4,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.466667,129.6,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.476389,144.4,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.490972,134,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.525,121.6,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.522569,133.6,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.539583,130.8,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.498264,139.6,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.527431,131.6,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.488542,147.2,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),0.442361,123.2,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),0.432639,112,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),0.48125,124.4,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),0.614931,119.6,,,,,,,,,,,,,,,,,,,,,,,,
65,Amino acid mixture (4 mM) + Glucose (3 mM),0.712153,137.6,,,,,,,,,,,,,,,,,,,,,,,,
66,Amino acid mixture (4 mM) + Glucose (3 mM),0.707292,147.6,,,,,,,,,,,,,,,,,,,,,,,,
67,Amino acid mixture (4 mM) + Glucose (3 mM),0.571181,149.6,,,,,,,,,,,,,,,,,,,,,,,,
68,Amino acid mixture (4 mM) + Glucose (3 mM),0.614931,153.2,,,,,,,,,,,,,,,,,,,,,,,,
69,Amino acid mixture (4 mM) + Glucose (3 mM),0.593056,139.6,,,,,,,,,,,,,,,,,,,,,,,,
70,Amino acid mixture (4 mM) + Glucose (3 mM),0.527431,150.4,,,,,,,,,,,,,,,,,,,,,,,,
71,Amino acid mixture (4 mM) + Glucose (3 mM),0.566319,135.2,,,,,,,,,,,,,,,,,,,,,,,,
72,Amino acid mixture (4 mM) + Glucose (3 mM),0.627083,132.4,,,,,,,,,,,,,,,,,,,,,,,,
73,Amino acid mixture (4 mM) + Glucose (3 mM),0.507986,158.4,,,,,,,,,,,,,,,,,,,,,,,,
74,Amino acid mixture (4 mM) + Glucose (3 mM),0.678125,135.6,,,,,,,,,,,,,,,,,,,,,,,,
75,Amino acid mixture (4 mM) + Glucose (3 mM),0.697569,153.2,,,,,,,,,,,,,,,,,,,,,,,,
76,Amino acid mixture (4 mM) + Glucose (3 mM),0.665972,159.2,,,,,,,,,,,,,,,,,,,,,,,,
77,Amino acid mixture (4 mM) + Glucose (3 mM),0.668403,160,,,,,,,,,,,,,,,,,,,,,,,,
78,Amino acid mixture (4 mM) + Glucose (3 mM),0.595486,158,,,,,,,,,,,,,,,,,,,,,,,,
