TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl),
20,No stimuli,0.449653,10.867,1000,4.63,20.52,1788,-1.589099,0.371877,14.657637,36.380208,37.4747934,1.25125148,1.411482469,4.321590607,3.467542694,26.78574029,657.9648,178.399,-5.066,902.32,1047.907,3.988050728,0.84099334,0.417009531,2.472749938,3.086516204,
21,No stimuli,0.459375,12.6,,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.537153,13.4,,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.520139,12.4,,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.549306,13.267,,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.469097,16.333,,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.459375,10,,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.435069,14.533,,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.483681,13.067,,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.580903,12.933,,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.534722,14.8,,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.4375,16.8,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.442361,51.333,,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.556597,53.333,,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.590625,32.667,,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.583333,26,,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.517708,26.4,,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.418056,24.933,,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.427778,22.667,,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.495833,21.867,,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.534722,13.6,,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.607639,23.467,,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.571181,25.733,,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.456944,28.4,,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.435069,32.667,,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.415625,33.333,,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.381597,33.2,,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.386458,33.333,,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.4375,34,,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.376736,39.867,,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.367014,38.4,,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.408333,37.333,,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.449653,38.533,,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.371875,46.267,,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.401042,45.867,,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.335417,45.467,,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.303819,48.533,,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.269792,40.267,,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.374306,49.467,,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.281944,46.4,,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.294097,47.6,,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),0.245486,51.867,,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),0.240625,51.467,,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),0.311111,43.333,,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),0.340278,39.067,,,,,,,,,,,,,,,,,,,,,,,,,
65,Amino acid mixture (4 mM) + Glucose (3 mM),0.430208,48.933,,,,,,,,,,,,,,,,,,,,,,,,,
66,Amino acid mixture (4 mM) + Glucose (3 mM),0.342708,53.6,,,,,,,,,,,,,,,,,,,,,,,,,
67,Amino acid mixture (4 mM) + Glucose (3 mM),0.291667,44.267,,,,,,,,,,,,,,,,,,,,,,,,,
68,Amino acid mixture (4 mM) + Glucose (3 mM),0.325694,53.067,,,,,,,,,,,,,,,,,,,,,,,,,
69,Amino acid mixture (4 mM) + Glucose (3 mM),0.315972,44.533,,,,,,,,,,,,,,,,,,,,,,,,,
70,Amino acid mixture (4 mM) + Glucose (3 mM),0.367014,50.4,,,,,,,,,,,,,,,,,,,,,,,,,
71,Amino acid mixture (4 mM) + Glucose (3 mM),0.374306,51.733,,,,,,,,,,,,,,,,,,,,,,,,,
72,Amino acid mixture (4 mM) + Glucose (3 mM),0.352431,52.8,,,,,,,,,,,,,,,,,,,,,,,,,
73,Amino acid mixture (4 mM) + Glucose (3 mM),0.332986,64.8,,,,,,,,,,,,,,,,,,,,,,,,,
74,Amino acid mixture (4 mM) + Glucose (3 mM),0.286806,62.667,,,,,,,,,,,,,,,,,,,,,,,,,
75,Amino acid mixture (4 mM) + Glucose (3 mM),0.313542,65.6,,,,,,,,,,,,,,,,,,,,,,,,,
76,Amino acid mixture (4 mM) + Glucose (3 mM),0.340278,59.733,,,,,,,,,,,,,,,,,,,,,,,,,
77,Amino acid mixture (4 mM) + Glucose (3 mM),0.325694,65.333,,,,,,,,,,,,,,,,,,,,,,,,,
78,Amino acid mixture (4 mM) + Glucose (3 mM),0.352431,70.133,,,,,,,,,,,,,,,,,,,,,,,,,
79,Amino acid mixture (4 mM) + Glucose (3 mM),0.277083,64.267,,,,,,,,,,,,,,,,,,,,,,,,,
80,Amino acid mixture (4 mM) + Glucose (3 mM),0.301389,69.867,,,,,,,,,,,,,,,,,,,,,,,,,
81,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.315972,65.867,,,,,,,,,,,,,,,,,,,,,,,,,
82,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.364583,49.6,,,,,,,,,,,,,,,,,,,,,,,,,
83,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.583333,35.2,,,,,,,,,,,,,,,,,,,,,,,,,
84,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.052083,27.467,,,,,,,,,,,,,,,,,,,,,,,,,
85,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.083333,43.733,,,,,,,,,,,,,,,,,,,,,,,,,
86,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.984375,52.8,,,,,,,,,,,,,,,,,,,,,,,,,
87,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.958333,74.4,,,,,,,,,,,,,,,,,,,,,,,,,
88,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.953125,67.2,,,,,,,,,,,,,,,,,,,,,,,,,
89,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.135417,64.8,,,,,,,,,,,,,,,,,,,,,,,,,
90,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.145833,80.533,,,,,,,,,,,,,,,,,,,,,,,,,
91,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.984375,84,,,,,,,,,,,,,,,,,,,,,,,,,
92,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.203125,79.733,,,,,,,,,,,,,,,,,,,,,,,,,
93,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.296875,70.933,,,,,,,,,,,,,,,,,,,,,,,,,
94,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.380208,60.8,,,,,,,,,,,,,,,,,,,,,,,,,
