TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_SI(aam),G_AUC(aam),G_SI(aam),I_AUC(Glu3),I_SI(Glu3),G_AUC(Glu3),G_SI(Glu3),I_AUC(G16.7),I_SI(G16.7),G_AUC(G16.7),G_SI(G16.7),I_AUC(ibmx),I_SI(ibmx),G_AUC(ibmx),G_SI(ibmx),I_AUC(kcl),I_SI(kcl),G_AUC(kcl),G_SI(kcl)
20,No stimuli,0.775,13.6,500,5.96,5.48,1380,-4.058193,1.038975194,164.16,2.009202454,0.317363,1.295766189,-132.8,0.185873606,4.442362,2.19446985,-114.4,0.198807157,15.402776,2.374100886,100.8,2.410147992,8.9500014,7.070272791,-7.56,1.385809313
21,No stimuli,0.784028,13.4,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.642361,12.4,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.679167,12.2,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.642361,21.8,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.596528,15.8,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.679167,16.4,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.698611,15,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.603472,7.4,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.647222,10.6,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.615278,13.4,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.636806,11.8,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.670139,4,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.655556,4,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.507639,11.8,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.564583,13,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.647917,18.4,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.605556,20.8,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.665278,20.8,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.331944,26.2,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.509028,17.6,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.483333,15.8,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.546528,22.4,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.514583,17.6,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.568056,22,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.540278,24.2,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.478472,20.6,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.478472,15,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.547222,15.6,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.486806,19.6,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.605556,21.8,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.48125,21.8,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.377083,17.8,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.409028,19.8,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.403472,25.6,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.425694,19.4,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.438194,25.2,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.459028,24,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.422222,16.8,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.435417,21.6,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.426389,20,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),0.411806,20.2,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),0.458333,4,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),0.422222,4,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),0.415278,4,,,,,,,,,,,,,,,,,,,,,,,,
65,Amino acid mixture (4 mM) + Glucose (3 mM),0.451389,4,,,,,,,,,,,,,,,,,,,,,,,,
66,Amino acid mixture (4 mM) + Glucose (3 mM),0.565278,8.2,,,,,,,,,,,,,,,,,,,,,,,,
67,Amino acid mixture (4 mM) + Glucose (3 mM),0.466667,12.8,,,,,,,,,,,,,,,,,,,,,,,,
68,Amino acid mixture (4 mM) + Glucose (3 mM),0.484028,13,,,,,,,,,,,,,,,,,,,,,,,,
69,Amino acid mixture (4 mM) + Glucose (3 mM),0.416667,18.6,,,,,,,,,,,,,,,,,,,,,,,,
70,Amino acid mixture (4 mM) + Glucose (3 mM),0.404167,15.4,,,,,,,,,,,,,,,,,,,,,,,,
71,Amino acid mixture (4 mM) + Glucose (3 mM),0.404167,15.6,,,,,,,,,,,,,,,,,,,,,,,,
72,Amino acid mixture (4 mM) + Glucose (3 mM),0.434722,15.6,,,,,,,,,,,,,,,,,,,,,,,,
73,Amino acid mixture (4 mM) + Glucose (3 mM),0.443056,19,,,,,,,,,,,,,,,,,,,,,,,,
74,Amino acid mixture (4 mM) + Glucose (3 mM),0.436111,22,,,,,,,,,,,,,,,,,,,,,,,,
75,Amino acid mixture (4 mM) + Glucose (3 mM),0.493056,20.6,,,,,,,,,,,,,,,,,,,,,,,,
76,Amino acid mixture (4 mM) + Glucose (3 mM),0.395833,13,,,,,,,,,,,,,,,,,,,,,,,,
77,Amino acid mixture (4 mM) + Glucose (3 mM),0.513889,21.2,,,,,,,,,,,,,,,,,,,,,,,,
78,Amino acid mixture (4 mM) + Glucose (3 mM),0.45,20,,,,,,,,,,,,,,,,,,,,,,,,
