TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_SI(aam),G_AUC(aam),G_SI(aam),I_AUC(Glu3),I_SI(Glu3),G_AUC(Glu3),G_SI(Glu3),I_AUC(G16.7),I_SI(G16.7),G_AUC(G16.7),G_SI(G16.7),I_AUC(ibmx),I_SI(ibmx),G_AUC(ibmx),G_SI(ibmx),I_AUC(kcl),I_SI(kcl),G_AUC(kcl),G_SI(kcl)
20,No stimuli,0.826389,11.2,,,,,-4.456524400000006,2.5476006121919643,791.0800000000002,10.536912751677852,5.781942000000001,3.184094765724645,-63.40000000000009,0.09242144177449169,35.765971,9.251602081071752,72.39999999999986,0.34328358208955223,63.354166000000006,3.318240620957309,4316.4,7.675,31.591803799999994,13.906674174023205,1178.7599999999998,28.536585365853657
21,No stimuli,0.94375,9.6,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.823611,12,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.801389,8.8,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.861111,11.2,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.825,10.8,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.677083,15,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.661806,12.2,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.6875,9.6,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.795833,12,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.630556,10.8,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.584722,12,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),1.830556,57.6,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),1.858333,125.6,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),1.159722,80,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.755556,79.6,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.588889,8.8,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.404167,12.6,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.398611,12,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.426389,14.4,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.473611,16.4,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.513889,17,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.497917,35,,,,,,,,,,,,,,,,,,,,,,,,
