TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl),,
20,No stimuli,0.066319,21.5,1000,9.6,39.3,2040,0.2537496,-0.023614,-0.108685,0.633337,0.2026384,2.161212831,1.196242074,1.260738069,0.633337,2.687571734,383.54,41.6,-4.2,736.05,632.96,2.119622246,0.964247021,0.820668693,2.737752161,4.321766562,,
21,No stimuli,0.0625,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.065278,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.064583,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.063194,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.061111,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.059028,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.064583,18,,,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.054167,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.058333,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.050694,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.061111,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.056944,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.059722,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.061458,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.060417,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.101389,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.128472,15,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.111458,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.110764,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.088194,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.082292,34.4,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.075,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.081944,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.065625,35,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.061111,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.072222,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.055903,34.4,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.054167,35.8,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.061111,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.052083,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.062153,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.058333,38.2,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.053472,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.054514,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.057639,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.055903,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.05,38,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.048264,35.8,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.054167,35,,,,,,,,,,,,,,,,,,,,,,,,,,
