TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_SI(aam),G_AUC(aam),G_SI(aam),I_AUC(Glu3),I_SI(Glu3),G_AUC(Glu3),G_SI(Glu3),I_AUC(G16.7),I_SI(G16.7),G_AUC(G16.7),G_SI(G16.7),I_AUC(ibmx),I_SI(ibmx),G_AUC(ibmx),G_SI(ibmx),I_AUC(kcl),I_SI(kcl),G_AUC(kcl),G_SI(kcl)
20,No Stimuli,1.959028,8,,18.33,1350,-7.7733988,3.388681935,1020.8,11,1.105901,2.974860913,-18.2,0.659793814,76.687151,27.70873222,-350.4,0.314136126,57.031246,2.144754122,1150.8,5.800711744,42.1189536,15.69099618,1815.98,34.08114558
21,No Stimuli,1.966319,8,,,,,,,,,,,,,,,,,,,,,,,
22,No Stimuli,1.973611,8,,,,,,,,,,,,,,,,,,,,,,,
23,No Stimuli,1.861806,8,,,,,,,,,,,,,,,,,,,,,,,
24,No Stimuli,1.570139,8,,,,,,,,,,,,,,,,,,,,,,,
25,No Stimuli,1.747569,8,,,,,,,,,,,,,,,,,,,,,,,
26,No Stimuli,1.499653,8,,,,,,,,,,,,,,,,,,,,,,,
27,No Stimuli,1.414583,8,,,,,,,,,,,,,,,,,,,,,,,
28,No Stimuli,1.283333,8,,,,,,,,,,,,,,,,,,,,,,,
29,No Stimuli,1.227431,8,,,,,,,,,,,,,,,,,,,,,,,
30,"Amino acid Mixure, 4 mM",1.210417,8,,,,,,,,,,,,,,,,,,,,,,,
31,"Amino acid Mixure, 4 mM",1.156944,8,,,,,,,,,,,,,,,,,,,,,,,
32,"Amino acid Mixure, 4 mM",2.496181,10.8,,,,,,,,,,,,,,,,,,,,,,,
33,"Amino acid Mixure, 4 mM",4.861111,49.6,,,,,,,,,,,,,,,,,,,,,,,
34,"Amino acid Mixure, 4 mM",4.460069,88,,,,,,,,,,,,,,,,,,,,,,,
35,"Amino acid Mixure, 4 mM",2.970139,88,,,,,,,,,,,,,,,,,,,,,,,
36,"Amino acid Mixure, 4 mM",2.226389,78.4,,,,,,,,,,,,,,,,,,,,,,,
37,"Amino acid Mixure, 4 mM",1.805903,68,,,,,,,,,,,,,,,,,,,,,,,
38,"Amino acid Mixure, 4 mM",1.506944,58.8,,,,,,,,,,,,,,,,,,,,,,,
39,"Amino acid Mixure, 4 mM",1.178819,45.2,,,,,,,,,,,,,,,,,,,,,,,
40,"Amino acid Mixure, 4 mM",0.921181,33.2,,,,,,,,,,,,,,,,,,,,,,,
41,"Amino acid Mixure, 4 mM",0.875,32.4,,,,,,,,,,,,,,,,,,,,,,,
42,"Amino acid Mixure, 4 mM",0.916319,37.6,,,,,,,,,,,,,,,,,,,,,,,
43,"Amino acid Mixure, 4 mM",0.823958,34.8,,,,,,,,,,,,,,,,,,,,,,,
44,"Amino acid Mixure, 4 mM",0.845833,34.8,,,,,,,,,,,,,,,,,,,,,,,
45,"Amino acid Mixure, 4 mM",0.877431,35.2,,,,,,,,,,,,,,,,,,,,,,,
46,"Amino acid Mixure, 4 mM",0.709722,36.4,,,,,,,,,,,,,,,,,,,,,,,
47,"Amino acid Mixure, 4 mM",0.712153,44.4,,,,,,,,,,,,,,,,,,,,,,,
48,"Amino acid Mixure, 4 mM",0.746181,34,,,,,,,,,,,,,,,,,,,,,,,
49,"Amino acid Mixure, 4 mM",0.636806,36.4,,,,,,,,,,,,,,,,,,,,,,,
50,"Amino acid Mixure, 4 mM",0.636806,33.2,,,,,,,,,,,,,,,,,,,,,,,
51,"Amino acid Mixure, 4 mM",0.527431,33.2,,,,,,,,,,,,,,,,,,,,,,,
52,"Amino acid Mixure, 4 mM",0.473958,31.2,,,,,,,,,,,,,,,,,,,,,,,
53,"Amino acid Mixure, 4 mM",0.476389,39.2,,,,,,,,,,,,,,,,,,,,,,,
54,"Amino acid Mixure, 4 mM",0.48125,43.6,,,,,,,,,,,,,,,,,,,,,,,
55,"Amino acid Mixure, 4 mM",0.422917,32.4,,,,,,,,,,,,,,,,,,,,,,,
56,"Amino acid Mixure, 4 mM",0.420486,26.4,,,,,,,,,,,,,,,,,,,,,,,
57,"Amino acid Mixure, 4 mM",0.386458,41.6,,,,,,,,,,,,,,,,,,,,,,,
58,"Amino acid Mixure, 4 mM",0.345139,45.6,,,,,,,,,,,,,,,,,,,,,,,
59,"Amino acid Mixure, 4 mM",0.291667,41.6,,,,,,,,,,,,,,,,,,,,,,,
60,"Amino acid Mixure, 4 mM",0.296528,38.8,,,,,,,,,,,,,,,,,,,,,,,
61,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.255208,33.6,,,,,,,,,,,,,,,,,,,,,,,
62,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.291667,25.6,,,,,,,,,,,,,,,,,,,,,,,
63,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.544444,32.4,,,,,,,,,,,,,,,,,,,,,,,
64,"Amino acid Mixure, 4 mM + Glucose, 3 mM",1.035417,32.8,,,,,,,,,,,,,,,,,,,,,,,
65,"Amino acid Mixure, 4 mM + Glucose, 3 mM",1.018403,33.2,,,,,,,,,,,,,,,,,,,,,,,
66,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.814236,40.8,,,,,,,,,,,,,,,,,,,,,,,
67,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.498264,43.2,,,,,,,,,,,,,,,,,,,,,,,
68,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.277083,40,,,,,,,,,,,,,,,,,,,,,,,
69,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.30625,46.8,,,,,,,,,,,,,,,,,,,,,,,
70,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.243056,40.8,,,,,,,,,,,,,,,,,,,,,,,
71,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.233333,40,,,,,,,,,,,,,,,,,,,,,,,
72,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.260069,48.4,,,,,,,,,,,,,,,,,,,,,,,
73,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.267361,42,,,,,,,,,,,,,,,,,,,,,,,
74,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.281944,34,,,,,,,,,,,,,,,,,,,,,,,
75,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.301389,33.2,,,,,,,,,,,,,,,,,,,,,,,
76,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.281944,40.4,,,,,,,,,,,,,,,,,,,,,,,
77,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.291667,40,,,,,,,,,,,,,,,,,,,,,,,
78,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.269792,39.6,,,,,,,,,,,,,,,,,,,,,,,
79,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.2625,29.6,,,,,,,,,,,,,,,,,,,,,,,
80,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.332986,41.4,,,,,,,,,,,,,,,,,,,,,,,
81,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",0.255208,34.8,,,,,,,,,,,,,,,,,,,,,,,
82,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",0.302083,23.4,,,,,,,,,,,,,,,,,,,,,,,
83,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",1.1875,17.4,,,,,,,,,,,,,,,,,,,,,,,
84,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",5.328125,16.8,,,,,,,,,,,,,,,,,,,,,,,
85,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",7.953125,12,,,,,,,,,,,,,,,,,,,,,,,
86,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",7.973958,12,,,,,,,,,,,,,,,,,,,,,,,
87,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",5.390625,16.8,,,,,,,,,,,,,,,,,,,,,,,
88,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",5.333333,23.4,,,,,,,,,,,,,,,,,,,,,,,
89,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",4.838542,18,,,,,,,,,,,,,,,,,,,,,,,
90,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",4.286458,28.8,,,,,,,,,,,,,,,,,,,,,,,
91,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",4.046875,19.2,,,,,,,,,,,,,,,,,,,,,,,
92,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",3.895833,13.8,,,,,,,,,,,,,,,,,,,,,,,
93,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",3.895833,21,,,,,,,,,,,,,,,,,,,,,,,
94,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",3.84375,30,,,,,,,,,,,,,,,,,,,,,,,
95,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",4.302083,13.8,,,,,,,,,,,,,,,,,,,,,,,
96,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",3.822917,19.8,,,,,,,,,,,,,,,,,,,,,,,
97,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",3.984375,27,,,,,,,,,,,,,,,,,,,,,,,
98,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",4.15625,22.1,,,,,,,,,,,,,,,,,,,,,,,
99,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",3.838542,21.8,,,,,,,,,,,,,,,,,,,,,,,
100,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",3.807292,21.7,,,,,,,,,,,,,,,,,,,,,,,
101,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",3.989583,20.2,,,,,,,,,,,,,,,,,,,,,,,
102,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",3.953125,20.4,,,,,,,,,,,,,,,,,,,,,,,
103,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",4.510417,8.6,,,,,,,,,,,,,,,,,,,,,,,
104,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",6.21875,17.6,,,,,,,,,,,,,,,,,,,,,,,
105,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",7.375,36.8,,,,,,,,,,,,,,,,,,,,,,,
106,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",7.151042,54.4,,,,,,,,,,,,,,,,,,,,,,,
107,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",8.28125,51.2,,,,,,,,,,,,,,,,,,,,,,,
108,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",8.135417,111.2,,,,,,,,,,,,,,,,,,,,,,,
109,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",8.083333,108.8,,,,,,,,,,,,,,,,,,,,,,,
110,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",7.338542,109.6,,,,,,,,,,,,,,,,,,,,,,,
111,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",7.255208,97.6,,,,,,,,,,,,,,,,,,,,,,,
112,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",7.104167,121.6,,,,,,,,,,,,,,,,,,,,,,,
113,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",7.505208,116,,,,,,,,,,,,,,,,,,,,,,,
114,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",7.807292,97.6,,,,,,,,,,,,,,,,,,,,,,,
