TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_SI(aam),G_AUC(aam),G_SI(aam),I_AUC(Glu3),I_SI(Glu3),G_AUC(Glu3),G_SI(Glu3),I_AUC(G16.7),I_SI(G16.7),G_AUC(G16.7),G_SI(G16.7),I_AUC(ibmx),I_SI(ibmx),G_AUC(ibmx),G_SI(ibmx),I_AUC(kcl),I_SI(kcl),G_AUC(kcl),G_SI(kcl)
20,No stimuli,0.116667,8,1000,4.05,40.9,3550,-0.1195864,2.213924289,1345.2,17.15,0.875003,1.904763904,12.4,0.543964232,16.438193,21.82909761,-280.4,0.346153846,63.145834,5.966908689,2555,4.795081967,6.5786778,12.8950591,1436.64,16.88508065
21,No stimuli,0.155556,8,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.109375,8,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.106944,8,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.104514,8,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.123958,8,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.099653,8,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.104514,8,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.089931,8,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.070486,8,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.104514,12.4,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.097222,8,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.145833,77.6,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.216319,137.2,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.170139,116,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.133681,67.2,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.070486,42.4,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.097222,42.4,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.085069,40.8,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.072917,34,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.077778,34.8,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.094792,37.6,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.097222,40,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.082639,41.2,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.094792,45.6,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.085069,46,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.065625,45.6,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.063194,50,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.080208,46.4,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.077778,53.2,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.097222,49.6,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.094792,50.4,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.089931,48.8,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.082639,53.6,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.097222,53.6,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.077778,50.4,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.058333,45.6,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.075347,53.6,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.077778,55.2,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.065625,54.8,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.080208,59.2,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),0.092361,51.6,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),0.102083,29.2,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),0.092361,34,,,,,,,,,,,,,,,,,,,,,,,,
