TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_SI(aam),G_AUC(aam),G_SI(aam),I_AUC(Glu3),I_SI(Glu3),G_AUC(Glu3),G_SI(Glu3),I_AUC(G16.7),I_SI(G16.7),G_AUC(G16.7),G_SI(G16.7),I_AUC(ibmx),I_SI(ibmx),G_AUC(ibmx),G_SI(ibmx),I_AUC(kcl),I_SI(kcl),G_AUC(kcl),G_SI(kcl)
20,No stimuli,0.538889,18.8,500,7,16.1,1236,-3.6905584,2.549336913,442.08,3.193717277,1.465279,2.623717647,-161.4,0.136165577,19.474305,7.241128518,-0.4,0.330237358,13.391662,2.007110329,282.6,1.805054152,51.9916682,48.44903961,563.84,9.950248756
21,No stimuli,0.372917,21.8,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.394444,23.4,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.436111,19.2,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.416667,15.4,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.435417,22.6,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.434028,25,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.413194,19.4,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.321528,25.8,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.33125,21.8,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.356944,21,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.338889,19.8,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.426389,22.8,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.986806,55.4,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.720833,73.2,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.4375,60.8,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.326389,51.2,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.254167,47,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.238194,46.2,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.164583,35.2,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.169444,38.2,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.175,36.8,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.188889,30.2,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.170833,25.8,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.182639,31.4,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.154167,31.6,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.165278,30.6,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.171528,30.6,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.198611,29.4,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.160417,29,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.165972,34.8,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.159028,37.4,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.132639,35.4,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.144444,36,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.808333,44.2,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.167361,35,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.167361,38.2,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.126389,35.8,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.144444,40.6,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.146528,34.2,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.159028,34.8,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),0.138194,38.6,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),0.164583,6.2,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),0.190278,5,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),0.290972,7.8,,,,,,,,,,,,,,,,,,,,,,,,
65,Amino acid mixture (4 mM) + Glucose (3 mM),0.390278,9,,,,,,,,,,,,,,,,,,,,,,,,
66,Amino acid mixture (4 mM) + Glucose (3 mM),0.324306,19,,,,,,,,,,,,,,,,,,,,,,,,
67,Amino acid mixture (4 mM) + Glucose (3 mM),0.254861,29.2,,,,,,,,,,,,,,,,,,,,,,,,
68,Amino acid mixture (4 mM) + Glucose (3 mM),0.248611,36.6,,,,,,,,,,,,,,,,,,,,,,,,
69,Amino acid mixture (4 mM) + Glucose (3 mM),0.217361,34,,,,,,,,,,,,,,,,,,,,,,,,
70,Amino acid mixture (4 mM) + Glucose (3 mM),0.19375,40.8,,,,,,,,,,,,,,,,,,,,,,,,
71,Amino acid mixture (4 mM) + Glucose (3 mM),0.215278,23.2,,,,,,,,,,,,,,,,,,,,,,,,
72,Amino acid mixture (4 mM) + Glucose (3 mM),0.210417,25.2,,,,,,,,,,,,,,,,,,,,,,,,
73,Amino acid mixture (4 mM) + Glucose (3 mM),0.213889,32.8,,,,,,,,,,,,,,,,,,,,,,,,
74,Amino acid mixture (4 mM) + Glucose (3 mM),0.218056,36.8,,,,,,,,,,,,,,,,,,,,,,,,
75,Amino acid mixture (4 mM) + Glucose (3 mM),0.210417,35,,,,,,,,,,,,,,,,,,,,,,,,
76,Amino acid mixture (4 mM) + Glucose (3 mM),0.172222,40.4,,,,,,,,,,,,,,,,,,,,,,,,
77,Amino acid mixture (4 mM) + Glucose (3 mM),0.19375,36.4,,,,,,,,,,,,,,,,,,,,,,,,
78,Amino acid mixture (4 mM) + Glucose (3 mM),0.199306,41,,,,,,,,,,,,,,,,,,,,,,,,
79,Amino acid mixture (4 mM) + Glucose (3 mM),0.176389,34.8,,,,,,,,,,,,,,,,,,,,,,,,
80,Amino acid mixture (4 mM) + Glucose (3 mM),0.217361,41.2,,,,,,,,,,,,,,,,,,,,,,,,
81,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.209028,43.6,,,,,,,,,,,,,,,,,,,,,,,,
82,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.178472,30.8,,,,,,,,,,,,,,,,,,,,,,,,
83,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.357639,12.8,,,,,,,,,,,,,,,,,,,,,,,,
84,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.388889,17.4,,,,,,,,,,,,,,,,,,,,,,,,
85,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.388889,20,,,,,,,,,,,,,,,,,,,,,,,,
86,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.388889,30.4,,,,,,,,,,,,,,,,,,,,,,,,
87,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.388889,39,,,,,,,,,,,,,,,,,,,,,,,,
88,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.094444,49,,,,,,,,,,,,,,,,,,,,,,,,
89,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.388889,42.8,,,,,,,,,,,,,,,,,,,,,,,,
90,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.388889,46.8,,,,,,,,,,,,,,,,,,,,,,,,
91,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.371528,47.2,,,,,,,,,,,,,,,,,,,,,,,,
92,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.290972,48.4,,,,,,,,,,,,,,,,,,,,,,,,
93,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.383333,42.6,,,,,,,,,,,,,,,,,,,,,,,,
94,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.388889,45.4,,,,,,,,,,,,,,,,,,,,,,,,
95,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.256944,37,,,,,,,,,,,,,,,,,,,,,,,,
96,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.254861,43.4,,,,,,,,,,,,,,,,,,,,,,,,
97,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.360417,39.2,,,,,,,,,,,,,,,,,,,,,,,,
98,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.388889,43.2,,,,,,,,,,,,,,,,,,,,,,,,
99,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.388889,48.4,,,,,,,,,,,,,,,,,,,,,,,,
100,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.052778,47.4,,,,,,,,,,,,,,,,,,,,,,,,
101,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),1.095833,48.6,,,,,,,,,,,,,,,,,,,,,,,,
102,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),1.195833,37.6,,,,,,,,,,,,,,,,,,,,,,,,
103,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),1.083333,25.8,,,,,,,,,,,,,,,,,,,,,,,,
104,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),1.65,16,,,,,,,,,,,,,,,,,,,,,,,,
105,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),2.016667,20.8,,,,,,,,,,,,,,,,,,,,,,,,
106,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),1.591667,26.4,,,,,,,,,,,,,,,,,,,,,,,,
107,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),2.045833,28,,,,,,,,,,,,,,,,,,,,,,,,
108,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),2.095833,41,,,,,,,,,,,,,,,,,,,,,,,,
109,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),2.158333,55.4,,,,,,,,,,,,,,,,,,,,,,,,
110,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),2.079167,70.4,,,,,,,,,,,,,,,,,,,,,,,,
111,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),2.304167,79,,,,,,,,,,,,,,,,,,,,,,,,
112,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),1.058333,80,,,,,,,,,,,,,,,,,,,,,,,,
113,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),2.0375,80,,,,,,,,,,,,,,,,,,,,,,,,
114,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),2.095833,80,,,,,,,,,,,,,,,,,,,,,,,,
115,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),2.233333,80,,,,,,,,,,,,,,,,,,,,,,,,
116,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),2.425,80,,,,,,,,,,,,,,,,,,,,,,,,
117,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),2.354167,80,,,,,,,,,,,,,,,,,,,,,,,,
118,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),2.545833,80,,,,,,,,,,,,,,,,,,,,,,,,
119,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),2.5875,80,,,,,,,,,,,,,,,,,,,,,,,,
120,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),2.520833,80,,,,,,,,,,,,,,,,,,,,,,,,
121,No stimuli,2.6125,80,,,,,,,,,,,,,,,,,,,,,,,,
122,No stimuli,3.233333,80,,,,,,,,,,,,,,,,,,,,,,,,
123,No stimuli,2.45,69.6,,,,,,,,,,,,,,,,,,,,,,,,
124,No stimuli,1.293056,36.6,,,,,,,,,,,,,,,,,,,,,,,,
125,No stimuli,1.3875,21.8,,,,,,,,,,,,,,,,,,,,,,,,
126,No stimuli,1.0625,12.6,,,,,,,,,,,,,,,,,,,,,,,,
127,No stimuli,0.898611,11.4,,,,,,,,,,,,,,,,,,,,,,,,
128,No stimuli,0.559028,7,,,,,,,,,,,,,,,,,,,,,,,,
129,No stimuli,0.405556,12,,,,,,,,,,,,,,,,,,,,,,,,
130,No stimuli,0.270833,12.6,,,,,,,,,,,,,,,,,,,,,,,,
131,No stimuli,0.222917,10.4,,,,,,,,,,,,,,,,,,,,,,,,
132,No stimuli,0.223611,9.6,,,,,,,,,,,,,,,,,,,,,,,,
133,No stimuli,0.153472,8.6,,,,,,,,,,,,,,,,,,,,,,,,
134,No stimuli,0.1375,8.6,,,,,,,,,,,,,,,,,,,,,,,,
135,No stimuli,0.189583,7.4,,,,,,,,,,,,,,,,,,,,,,,,
136,No stimuli,0.102083,5.2,,,,,,,,,,,,,,,,,,,,,,,,
137,No stimuli,0.104861,4,,,,,,,,,,,,,,,,,,,,,,,,
138,No stimuli,0.103472,12.6,,,,,,,,,,,,,,,,,,,,,,,,
139,No stimuli,0.103472,9.2,,,,,,,,,,,,,,,,,,,,,,,,
140,No stimuli,0.096528,9.2,,,,,,,,,,,,,,,,,,,,,,,,
141,KCl (30 mM),0.09375,6.4,,,,,,,,,,,,,,,,,,,,,,,,
142,KCl (30 mM),0.4125,37.6,,,,,,,,,,,,,,,,,,,,,,,,
143,KCl (30 mM),2.154167,80,,,,,,,,,,,,,,,,,,,,,,,,
144,KCl (30 mM),1.466667,62,,,,,,,,,,,,,,,,,,,,,,,,
145,KCl (30 mM),1.020833,40,,,,,,,,,,,,,,,,,,,,,,,,
146,KCl (30 mM),0.8125,51.2,,,,,,,,,,,,,,,,,,,,,,,,
147,KCl (30 mM),0.791667,27.2,,,,,,,,,,,,,,,,,,,,,,,,
148,KCl (30 mM),4.6625,41.6,,,,,,,,,,,,,,,,,,,,,,,,
149,KCl (30 mM),4.05,29.4,,,,,,,,,,,,,,,,,,,,,,,,
150,KCl (30 mM),4.758333,26.2,,,,,,,,,,,,,,,,,,,,,,,,
151,KCl (30 mM),4.945833,36.2,,,,,,,,,,,,,,,,,,,,,,,,
152,KCl (30 mM),4.608333,35.2,,,,,,,,,,,,,,,,,,,,,,,,
153,KCl (30 mM),4.058333,36.8,,,,,,,,,,,,,,,,,,,,,,,,
154,KCl (30 mM),3.258333,30.8,,,,,,,,,,,,,,,,,,,,,,,,
155,KCl (30 mM),3.645833,34.4,,,,,,,,,,,,,,,,,,,,,,,,
156,KCl (30 mM),3.341667,31.8,,,,,,,,,,,,,,,,,,,,,,,,
157,KCl (30 mM),3.204167,31.6,,,,,,,,,,,,,,,,,,,,,,,,
158,KCl (30 mM),3.183333,42.2,,,,,,,,,,,,,,,,,,,,,,,,
159,KCl (30 mM),3.4625,36,,,,,,,,,,,,,,,,,,,,,,,,
