TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_SI(aam),G_AUC(aam),G_SI(aam),I_AUC(Glu3),I_SI(Glu3),G_AUC(Glu3),G_SI(Glu3),I_AUC(G16.7),I_SI(G16.7),G_AUC(G16.7),G_SI(G16.7),I_AUC(ibmx),I_SI(ibmx),G_AUC(ibmx),G_SI(ibmx),I_AUC(kcl),I_SI(kcl),G_AUC(kcl),G_SI(kcl)
20,No stimuli,0.221181,2,1000,,0.58,1750,-1.7130556000000015,1.3981752084966854,269.38000000000005,11.074380165289258,0.8822900000000009,1.9364140542134578,24.200000000000017,0.7407407407407407,4.8142369999999985,5.206944814716076,-97.1,0.37500000000000006,7.890625999999999,2.5257727877563365,798,14.794520547945206,4.479791399999998,8.61593925994113,419.82,21.575342465753426
21,No stimuli,0.216319,2,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.213889,2.1,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.194444,2.4,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.177431,2.1,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.172569,2.4,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.145833,3,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.155556,2.6,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.187153,2,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.138542,2.1,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.153125,9.6,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.160417,8,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.223611,8,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.167708,26.8,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.114236,23.6,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.109375,12.8,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.094792,11.2,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.077778,8.8,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.097222,10.4,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.104514,11.6,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.133681,8,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.121528,8.8,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.075347,12.4,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.162847,9.6,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.162847,9.6,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.082639,8.8,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.055903,8,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.055903,8,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.051042,14.8,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.0875,8.4,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.072917,11.2,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.077778,10,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.094792,8,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.080208,11.2,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.104514,14.8,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.102083,8,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.099653,13.2,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.080208,14.4,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.080208,8.8,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.048611,8,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.111806,9.6,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),0.068056,15.6,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),0.075347,17.6,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),0.128819,17.2,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),0.153125,14.8,,,,,,,,,,,,,,,,,,,,,,,,
65,Amino acid mixture (4 mM) + Glucose (3 mM),0.145833,14.8,,,,,,,,,,,,,,,,,,,,,,,,
66,Amino acid mixture (4 mM) + Glucose (3 mM),0.140972,10.8,,,,,,,,,,,,,,,,,,,,,,,,
67,Amino acid mixture (4 mM) + Glucose (3 mM),0.123958,12,,,,,,,,,,,,,,,,,,,,,,,,
68,Amino acid mixture (4 mM) + Glucose (3 mM),0.13125,8,,,,,,,,,,,,,,,,,,,,,,,,
69,Amino acid mixture (4 mM) + Glucose (3 mM),0.106944,9,,,,,,,,,,,,,,,,,,,,,,,,
70,Amino acid mixture (4 mM) + Glucose (3 mM),0.136111,8,,,,,,,,,,,,,,,,,,,,,,,,
71,Amino acid mixture (4 mM) + Glucose (3 mM),0.048611,14,,,,,,,,,,,,,,,,,,,,,,,,
72,Amino acid mixture (4 mM) + Glucose (3 mM),0.121528,8,,,,,,,,,,,,,,,,,,,,,,,,
73,Amino acid mixture (4 mM) + Glucose (3 mM),0.121528,10.8,,,,,,,,,,,,,,,,,,,,,,,,
74,Amino acid mixture (4 mM) + Glucose (3 mM),0.136111,10.4,,,,,,,,,,,,,,,,,,,,,,,,
75,Amino acid mixture (4 mM) + Glucose (3 mM),0.145833,13.2,,,,,,,,,,,,,,,,,,,,,,,,
76,Amino acid mixture (4 mM) + Glucose (3 mM),0.150694,11.6,,,,,,,,,,,,,,,,,,,,,,,,
77,Amino acid mixture (4 mM) + Glucose (3 mM),0.157986,12,,,,,,,,,,,,,,,,,,,,,,,,
78,Amino acid mixture (4 mM) + Glucose (3 mM),0.160417,10.8,,,,,,,,,,,,,,,,,,,,,,,,
79,Amino acid mixture (4 mM) + Glucose (3 mM),0.148264,11.2,,,,,,,,,,,,,,,,,,,,,,,,
80,Amino acid mixture (4 mM) + Glucose (3 mM),0.162847,10.4,,,,,,,,,,,,,,,,,,,,,,,,
81,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.143403,7.3,,,,,,,,,,,,,,,,,,,,,,,,
82,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.145833,7.2,,,,,,,,,,,,,,,,,,,,,,,,
83,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.276042,8.1,,,,,,,,,,,,,,,,,,,,,,,,
84,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.666667,6.5,,,,,,,,,,,,,,,,,,,,,,,,
85,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.8125,4.2,,,,,,,,,,,,,,,,,,,,,,,,
86,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.666667,7.6,,,,,,,,,,,,,,,,,,,,,,,,
87,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.401042,7.2,,,,,,,,,,,,,,,,,,,,,,,,
88,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.333333,9.1,,,,,,,,,,,,,,,,,,,,,,,,
89,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.34375,5.4,,,,,,,,,,,,,,,,,,,,,,,,
90,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.34375,5.1,,,,,,,,,,,,,,,,,,,,,,,,
91,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.333333,7.5,,,,,,,,,,,,,,,,,,,,,,,,
92,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.28125,5.3,,,,,,,,,,,,,,,,,,,,,,,,
93,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.411458,4.9,,,,,,,,,,,,,,,,,,,,,,,,
94,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.4375,7,,,,,,,,,,,,,,,,,,,,,,,,
95,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.317708,5.3,,,,,,,,,,,,,,,,,,,,,,,,
96,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.375,5.3,,,,,,,,,,,,,,,,,,,,,,,,
97,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.375,5.2,,,,,,,,,,,,,,,,,,,,,,,,
98,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.385417,7.2,,,,,,,,,,,,,,,,,,,,,,,,
99,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.427083,5,,,,,,,,,,,,,,,,,,,,,,,,
100,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.458333,6.5,,,,,,,,,,,,,,,,,,,,,,,,
101,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),0.453125,10.9,,,,,,,,,,,,,,,,,,,,,,,,
102,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),0.494792,4.6,,,,,,,,,,,,,,,,,,,,,,,,
103,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),0.848958,4.3,,,,,,,,,,,,,,,,,,,,,,,,
104,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),1.020833,10.2,,,,,,,,,,,,,,,,,,,,,,,,
105,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),0.854167,15.4,,,,,,,,,,,,,,,,,,,,,,,,
106,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),0.770833,39.6,,,,,,,,,,,,,,,,,,,,,,,,
107,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),0.901042,49.5,,,,,,,,,,,,,,,,,,,,,,,,
108,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),0.84375,66.6,,,,,,,,,,,,,,,,,,,,,,,,
109,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),0.833333,54.9,,,,,,,,,,,,,,,,,,,,,,,,
110,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),0.817708,72.9,,,,,,,,,,,,,,,,,,,,,,,,
111,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),0.75,75.6,,,,,,,,,,,,,,,,,,,,,,,,
112,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),0.729167,64.8,,,,,,,,,,,,,,,,,,,,,,,,
113,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),0.760417,65.7,,,,,,,,,,,,,,,,,,,,,,,,
114,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),0.765625,57.6,,,,,,,,,,,,,,,,,,,,,,,,
115,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),0.807292,39.6,,,,,,,,,,,,,,,,,,,,,,,,
116,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),0.802083,86.4,,,,,,,,,,,,,,,,,,,,,,,,
117,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),0.84375,46.8,,,,,,,,,,,,,,,,,,,,,,,,
118,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),0.796875,55.8,,,,,,,,,,,,,,,,,,,,,,,,
119,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),0.890625,39.6,,,,,,,,,,,,,,,,,,,,,,,,
120,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),0.989583,54,,,,,,,,,,,,,,,,,,,,,,,,
121,No stimuli,0.84375,36.9,,,,,,,,,,,,,,,,,,,,,,,,
122,No stimuli,0.838542,51.3,,,,,,,,,,,,,,,,,,,,,,,,
123,No stimuli,0.604167,24.3,,,,,,,,,,,,,,,,,,,,,,,,
124,No stimuli,0.405903,15.6,,,,,,,,,,,,,,,,,,,,,,,,
125,No stimuli,0.379167,6.8,,,,,,,,,,,,,,,,,,,,,,,,
126,No stimuli,0.345139,5.1,,,,,,,,,,,,,,,,,,,,,,,,
127,No stimuli,0.332986,3.2,,,,,,,,,,,,,,,,,,,,,,,,
128,No stimuli,0.325694,4.2,,,,,,,,,,,,,,,,,,,,,,,,
129,No stimuli,0.456944,2.5,,,,,,,,,,,,,,,,,,,,,,,,
130,No stimuli,0.284375,2.6,,,,,,,,,,,,,,,,,,,,,,,,
131,No stimuli,0.30625,3,,,,,,,,,,,,,,,,,,,,,,,,
132,No stimuli,0.250347,2,,,,,,,,,,,,,,,,,,,,,,,,
133,No stimuli,0.252778,2,,,,,,,,,,,,,,,,,,,,,,,,
134,No stimuli,0.250347,2.4,,,,,,,,,,,,,,,,,,,,,,,,
135,No stimuli,0.196875,2.4,,,,,,,,,,,,,,,,,,,,,,,,
136,No stimuli,0.138542,2.2,,,,,,,,,,,,,,,,,,,,,,,,
137,No stimuli,0.167708,2.6,,,,,,,,,,,,,,,,,,,,,,,,
138,No stimuli,0.194444,2.4,,,,,,,,,,,,,,,,,,,,,,,,
139,No stimuli,0.138542,3.5,,,,,,,,,,,,,,,,,,,,,,,,
140,No stimuli,0.179861,3.9,,,,,,,,,,,,,,,,,,,,,,,,
141,KCl (30 mM),0.165278,4,,,,,,,,,,,,,,,,,,,,,,,,
142,KCl (30 mM),1.411458,63,,,,,,,,,,,,,,,,,,,,,,,,
143,KCl (30 mM),1.057292,44.1,,,,,,,,,,,,,,,,,,,,,,,,
144,KCl (30 mM),0.59375,21.6,,,,,,,,,,,,,,,,,,,,,,,,
145,KCl (30 mM),0.369792,16.2,,,,,,,,,,,,,,,,,,,,,,,,
146,KCl (30 mM),0.333333,12,,,,,,,,,,,,,,,,,,,,,,,,
147,KCl (30 mM),0.3125,14.4,,,,,,,,,,,,,,,,,,,,,,,,
148,KCl (30 mM),0.255208,12,,,,,,,,,,,,,,,,,,,,,,,,
149,KCl (30 mM),0.270833,12,,,,,,,,,,,,,,,,,,,,,,,,
150,KCl (30 mM),0.328125,12,,,,,,,,,,,,,,,,,,,,,,,,
151,KCl (30 mM),0.234375,12,,,,,,,,,,,,,,,,,,,,,,,,
152,KCl (30 mM),0.265625,12,,,,,,,,,,,,,,,,,,,,,,,,
153,KCl (30 mM),0.286458,19.8,,,,,,,,,,,,,,,,,,,,,,,,
154,KCl (30 mM),0.380208,33,,,,,,,,,,,,,,,,,,,,,,,,
155,KCl (30 mM),0.291667,26.4,,,,,,,,,,,,,,,,,,,,,,,,
156,KCl (30 mM),0.265625,36.6,,,,,,,,,,,,,,,,,,,,,,,,
157,KCl (30 mM),0.255208,39,,,,,,,,,,,,,,,,,,,,,,,,
158,KCl (30 mM),0.265625,41.4,,,,,,,,,,,,,,,,,,,,,,,,
159,KCl (30 mM),0.25,43.8,,,,,,,,,,,,,,,,,,,,,,,,
