TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl),,
20,No stimuli,0.1875,3.2,1000,2.61,0.312,400,-1.0083354,0.041663,1.734719,3.094449,1.411663,1.348483146,1.419094673,2.500004945,2.371275484,2.474483189,25.44,2.8,-6.7,45.6,58.8,1.878612717,1.6359447,1.345381526,1.829268293,4.7,,
21,No stimuli,0.176389,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.166667,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.176389,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.155556,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.191667,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.180556,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.179167,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.206944,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.158333,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.188889,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.180556,2,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.133333,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.143056,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.181944,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.156944,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.180556,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.238889,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.247222,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.170833,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.183333,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.173611,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.194444,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.158333,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.154167,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.159722,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.161111,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.125,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.138889,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.145833,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.097222,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.129167,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.15,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.105556,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.127778,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.125,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.113889,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.104167,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.088889,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.115278,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.101389,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),0.1125,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),0.091667,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),0.094444,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),0.098611,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,
