TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_SI(aam),G_AUC(aam),G_SI(aam),I_AUC(Glu3),I_SI(Glu3),G_AUC(Glu3),G_SI(Glu3),I_AUC(G16.7),I_SI(G16.7),G_AUC(G16.7),G_SI(G16.7),I_AUC(ibmx),I_SI(ibmx),G_AUC(ibmx),G_SI(ibmx),I_AUC(kcl),I_SI(kcl),G_AUC(kcl),G_SI(kcl)
20,No stimuli,3.597222,46.8,1000,,21.2,,-7.2236165999999855,1.684919836942582,1257.2800000000002,3.2310177705977385,2.6979150000000054,1.669655475799869,-28.40000000000032,0.6220657276995306,52.920485,5.676588515446407,-300.3999999999992,0.47073023536511766,69.91667199999999,2.7586216211177335,1868.7999999999997,2.7329650092081033,62.45257260000001,27.139494700114327,1683.3600000000001,15.18304431599229
21,No stimuli,2.838889,37.2,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,3.026042,45.2,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,2.889931,46,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,2.158333,42,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,2.588542,48.4,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,3.159722,51.6,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,2.960417,42.8,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,3.023611,56.8,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,2.693056,48,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),3.363889,42.8,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),2.809722,34.8,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),4.416319,92.8,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),4.474653,160,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),2.384375,142,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),1.835069,120.8,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),1.75,89.6,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),1.754861,72.8,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),2.073264,65.6,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),2.107292,61.2,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),4.861111,55.6,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),4.861111,57.6,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),4.861111,70.4,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),4.861111,62.4,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),4.861111,160,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),4.861111,92,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),2.160764,89.6,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),2.576389,84.4,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),2.036806,74.8,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),1.849653,90.4,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),1.711111,79.6,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),1.698958,93.2,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),2.748958,89.6,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),1.489931,96.8,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),1.550694,106.8,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),1.477778,95.6,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),1.4,100,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),1.314931,113.6,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),1.375694,111.2,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),1.392708,100.8,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),1.293056,85.6,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),1.217708,107.6,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),1.317361,73.6,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),1.725694,63.6,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),2.092708,87.6,,,,,,,,,,,,,,,,,,,,,,,,
65,Amino acid mixture (4 mM) + Glucose (3 mM),2.262847,99.6,,,,,,,,,,,,,,,,,,,,,,,,
66,Amino acid mixture (4 mM) + Glucose (3 mM),1.643056,86.8,,,,,,,,,,,,,,,,,,,,,,,,
67,Amino acid mixture (4 mM) + Glucose (3 mM),1.509375,96.8,,,,,,,,,,,,,,,,,,,,,,,,
68,Amino acid mixture (4 mM) + Glucose (3 mM),1.259028,90.4,,,,,,,,,,,,,,,,,,,,,,,,
69,Amino acid mixture (4 mM) + Glucose (3 mM),1.348958,102.4,,,,,,,,,,,,,,,,,,,,,,,,
70,Amino acid mixture (4 mM) + Glucose (3 mM),1.285764,97.6,,,,,,,,,,,,,,,,,,,,,,,,
71,Amino acid mixture (4 mM) + Glucose (3 mM),1.414583,79.6,,,,,,,,,,,,,,,,,,,,,,,,
72,Amino acid mixture (4 mM) + Glucose (3 mM),1.460764,83.6,,,,,,,,,,,,,,,,,,,,,,,,
73,Amino acid mixture (4 mM) + Glucose (3 mM),1.397569,92.8,,,,,,,,,,,,,,,,,,,,,,,,
74,Amino acid mixture (4 mM) + Glucose (3 mM),1.368403,87.6,,,,,,,,,,,,,,,,,,,,,,,,
75,Amino acid mixture (4 mM) + Glucose (3 mM),1.407292,104,,,,,,,,,,,,,,,,,,,,,,,,
76,Amino acid mixture (4 mM) + Glucose (3 mM),1.421875,130.4,,,,,,,,,,,,,,,,,,,,,,,,
77,Amino acid mixture (4 mM) + Glucose (3 mM),1.460764,149.6,,,,,,,,,,,,,,,,,,,,,,,,
78,Amino acid mixture (4 mM) + Glucose (3 mM),1.502083,116.8,,,,,,,,,,,,,,,,,,,,,,,,
79,Amino acid mixture (4 mM) + Glucose (3 mM),1.370833,137.6,,,,,,,,,,,,,,,,,,,,,,,,
80,Amino acid mixture (4 mM) + Glucose (3 mM),1.336806,128.4,,,,,,,,,,,,,,,,,,,,,,,,
81,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.263889,144.6,,,,,,,,,,,,,,,,,,,,,,,,
82,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.557292,99,,,,,,,,,,,,,,,,,,,,,,,,
83,Amino acid mixture (4 mM) + Glucose (16.7 mM),3.645833,62.4,,,,,,,,,,,,,,,,,,,,,,,,
84,Amino acid mixture (4 mM) + Glucose (16.7 mM),8.052083,118.8,,,,,,,,,,,,,,,,,,,,,,,,
85,Amino acid mixture (4 mM) + Glucose (16.7 mM),7.510417,134.4,,,,,,,,,,,,,,,,,,,,,,,,
86,Amino acid mixture (4 mM) + Glucose (16.7 mM),5.395833,123,,,,,,,,,,,,,,,,,,,,,,,,
87,Amino acid mixture (4 mM) + Glucose (16.7 mM),3.958333,126.6,,,,,,,,,,,,,,,,,,,,,,,,
88,Amino acid mixture (4 mM) + Glucose (16.7 mM),3.96875,147,,,,,,,,,,,,,,,,,,,,,,,,
89,Amino acid mixture (4 mM) + Glucose (16.7 mM),3.682292,123,,,,,,,,,,,,,,,,,,,,,,,,
90,Amino acid mixture (4 mM) + Glucose (16.7 mM),4.083333,114,,,,,,,,,,,,,,,,,,,,,,,,
91,Amino acid mixture (4 mM) + Glucose (16.7 mM),3.755208,111.6,,,,,,,,,,,,,,,,,,,,,,,,
92,Amino acid mixture (4 mM) + Glucose (16.7 mM),3.755208,107.4,,,,,,,,,,,,,,,,,,,,,,,,
93,Amino acid mixture (4 mM) + Glucose (16.7 mM),3.791667,127.2,,,,,,,,,,,,,,,,,,,,,,,,
94,Amino acid mixture (4 mM) + Glucose (16.7 mM),3.583333,161.4,,,,,,,,,,,,,,,,,,,,,,,,
95,Amino acid mixture (4 mM) + Glucose (16.7 mM),4.40625,107.4,,,,,,,,,,,,,,,,,,,,,,,,
96,Amino acid mixture (4 mM) + Glucose (16.7 mM),3.614583,112.8,,,,,,,,,,,,,,,,,,,,,,,,
97,Amino acid mixture (4 mM) + Glucose (16.7 mM),3.864583,113.4,,,,,,,,,,,,,,,,,,,,,,,,
98,Amino acid mixture (4 mM) + Glucose (16.7 mM),3.588542,118.2,,,,,,,,,,,,,,,,,,,,,,,,
99,Amino acid mixture (4 mM) + Glucose (16.7 mM),4.15625,106.8,,,,,,,,,,,,,,,,,,,,,,,,
100,Amino acid mixture (4 mM) + Glucose (16.7 mM),3.65625,91.8,,,,,,,,,,,,,,,,,,,,,,,,
101,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),4.348958,95.2,,,,,,,,,,,,,,,,,,,,,,,,
102,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),4.046875,106.4,,,,,,,,,,,,,,,,,,,,,,,,
103,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),4.229167,87.2,,,,,,,,,,,,,,,,,,,,,,,,
104,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),4.947917,120,,,,,,,,,,,,,,,,,,,,,,,,
105,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),7.46875,156,,,,,,,,,,,,,,,,,,,,,,,,
106,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),8.59375,183.2,,,,,,,,,,,,,,,,,,,,,,,,
107,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),10.41667,202.4,,,,,,,,,,,,,,,,,,,,,,,,
108,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),6.369792,188,,,,,,,,,,,,,,,,,,,,,,,,
109,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),7.473958,252,,,,,,,,,,,,,,,,,,,,,,,,
110,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),7.90625,219.2,,,,,,,,,,,,,,,,,,,,,,,,
111,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),8.166667,233.6,,,,,,,,,,,,,,,,,,,,,,,,
112,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),5.854167,245.6,,,,,,,,,,,,,,,,,,,,,,,,
113,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),9.666667,251.2,,,,,,,,,,,,,,,,,,,,,,,,
114,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),8.098958,239.2,,,,,,,,,,,,,,,,,,,,,,,,
115,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),8.552083,252.8,,,,,,,,,,,,,,,,,,,,,,,,
116,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),7.291667,207.2,,,,,,,,,,,,,,,,,,,,,,,,
117,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),7.520833,199.2,,,,,,,,,,,,,,,,,,,,,,,,
118,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),8.84375,257.6,,,,,,,,,,,,,,,,,,,,,,,,
119,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),7.682292,296.8,,,,,,,,,,,,,,,,,,,,,,,,
120,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),7.958333,248,,,,,,,,,,,,,,,,,,,,,,,,
121,No stimuli,7.994792,237.6,,,,,,,,,,,,,,,,,,,,,,,,
122,No stimuli,6.302083,215.2,,,,,,,,,,,,,,,,,,,,,,,,
123,No stimuli,4.609375,144.8,,,,,,,,,,,,,,,,,,,,,,,,
124,No stimuli,4.861111,85.8,,,,,,,,,,,,,,,,,,,,,,,,
125,No stimuli,4.861111,62.4,,,,,,,,,,,,,,,,,,,,,,,,
126,No stimuli,4.477083,81,,,,,,,,,,,,,,,,,,,,,,,,
127,No stimuli,2.610417,37.2,,,,,,,,,,,,,,,,,,,,,,,,
128,No stimuli,1.737847,28.2,,,,,,,,,,,,,,,,,,,,,,,,
129,No stimuli,1.071875,16.2,,,,,,,,,,,,,,,,,,,,,,,,
130,No stimuli,0.981944,33,,,,,,,,,,,,,,,,,,,,,,,,
131,No stimuli,0.819097,22.2,,,,,,,,,,,,,,,,,,,,,,,,
132,No stimuli,0.663542,12,,,,,,,,,,,,,,,,,,,,,,,,
133,No stimuli,0.605208,17.4,,,,,,,,,,,,,,,,,,,,,,,,
134,No stimuli,0.498264,15.6,,,,,,,,,,,,,,,,,,,,,,,,
135,No stimuli,0.405903,28.8,,,,,,,,,,,,,,,,,,,,,,,,
136,No stimuli,0.374306,18,,,,,,,,,,,,,,,,,,,,,,,,
137,No stimuli,0.4,18,,,,,,,,,,,,,,,,,,,,,,,,
138,No stimuli,0.379167,24.6,,,,,,,,,,,,,,,,,,,,,,,,
139,No stimuli,0.379167,22.8,,,,,,,,,,,,,,,,,,,,,,,,
140,No stimuli,0.386458,20.4,,,,,,,,,,,,,,,,,,,,,,,,
141,KCl (30 mM),1.307639,73.2,,,,,,,,,,,,,,,,,,,,,,,,
142,KCl (30 mM),10.41667,315.2,,,,,,,,,,,,,,,,,,,,,,,,
143,KCl (30 mM),10.41667,210.4,,,,,,,,,,,,,,,,,,,,,,,,
144,KCl (30 mM),5.083333,163.2,,,,,,,,,,,,,,,,,,,,,,,,
145,KCl (30 mM),3.703125,91.8,,,,,,,,,,,,,,,,,,,,,,,,
146,KCl (30 mM),3.505208,82.8,,,,,,,,,,,,,,,,,,,,,,,,
147,KCl (30 mM),3.0625,100.2,,,,,,,,,,,,,,,,,,,,,,,,
148,KCl (30 mM),3.1875,93,,,,,,,,,,,,,,,,,,,,,,,,
149,KCl (30 mM),3.098958,84,,,,,,,,,,,,,,,,,,,,,,,,
150,KCl (30 mM),2.953125,73.8,,,,,,,,,,,,,,,,,,,,,,,,
151,KCl (30 mM),2.953125,90,,,,,,,,,,,,,,,,,,,,,,,,
152,KCl (30 mM),2.765625,59.4,,,,,,,,,,,,,,,,,,,,,,,,
153,KCl (30 mM),2.520833,87,,,,,,,,,,,,,,,,,,,,,,,,
154,KCl (30 mM),3,142.2,,,,,,,,,,,,,,,,,,,,,,,,
155,KCl (30 mM),3.213542,75,,,,,,,,,,,,,,,,,,,,,,,,
156,KCl (30 mM),2.385417,55.2,,,,,,,,,,,,,,,,,,,,,,,,
157,KCl (30 mM),2.395833,93,,,,,,,,,,,,,,,,,,,,,,,,
158,KCl (30 mM),2.03125,93,,,,,,,,,,,,,,,,,,,,,,,,
159,KCl (30 mM),1.744792,95.4,,,,,,,,,,,,,,,,,,,,,,,,
