TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl)
20,No stimuli,0.260069,4,1000,4.16,8.6,680,-1.0602052,0.59306,21.520139,47.770832,2.244512,1.971830646,1.666669841,21.02424969,3.619698122,3.275109033,245.8,32.8,-81.6,304,363.96,5.3,0.737327189,0.471698113,3.965517241,5.025125628
21,No stimuli,0.286806,4,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.211458,4,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.252778,4,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.269792,4,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.228472,4,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.209028,4,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.238194,4,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.167708,4,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.192014,4,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.192014,4.6,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.172569,8,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.150694,8,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.153125,8,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.177431,8,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.187153,8,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.391319,8,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.408333,8,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.376736,8,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.323264,8,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.257639,8,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.223611,8,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.182292,8,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.145833,12,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.175,15.2,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.155556,9.2,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.133681,8,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.160417,14,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.123958,16.4,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.119097,13.2,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.128819,18,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.099653,20.4,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.104514,15.2,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.102083,15.2,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.094792,9.2,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.094792,16.4,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.075347,18.8,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.109375,19.6,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.114236,16,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.119097,11.2,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.106944,21.2,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),0.092361,17.6,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),0.077778,19.2,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),0.092361,18.8,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),0.104514,18.8,,,,,,,,,,,,,,,,,,,,,,,,
65,Amino acid mixture (4 mM) + Glucose (3 mM),0.119097,14.8,,,,,,,,,,,,,,,,,,,,,,,,
66,Amino acid mixture (4 mM) + Glucose (3 mM),0.102083,21.2,,,,,,,,,,,,,,,,,,,,,,,,
67,Amino acid mixture (4 mM) + Glucose (3 mM),0.126389,23.2,,,,,,,,,,,,,,,,,,,,,,,,
68,Amino acid mixture (4 mM) + Glucose (3 mM),0.121528,16.4,,,,,,,,,,,,,,,,,,,,,,,,
69,Amino acid mixture (4 mM) + Glucose (3 mM),0.148264,20.8,,,,,,,,,,,,,,,,,,,,,,,,
70,Amino acid mixture (4 mM) + Glucose (3 mM),0.138542,24.4,,,,,,,,,,,,,,,,,,,,,,,,
71,Amino acid mixture (4 mM) + Glucose (3 mM),0.153125,20.4,,,,,,,,,,,,,,,,,,,,,,,,
72,Amino acid mixture (4 mM) + Glucose (3 mM),0.143403,20,,,,,,,,,,,,,,,,,,,,,,,,
73,Amino acid mixture (4 mM) + Glucose (3 mM),0.175,20.8,,,,,,,,,,,,,,,,,,,,,,,,
74,Amino acid mixture (4 mM) + Glucose (3 mM),0.162847,18,,,,,,,,,,,,,,,,,,,,,,,,
75,Amino acid mixture (4 mM) + Glucose (3 mM),0.162847,20.8,,,,,,,,,,,,,,,,,,,,,,,,
76,Amino acid mixture (4 mM) + Glucose (3 mM),0.172569,16.4,,,,,,,,,,,,,,,,,,,,,,,,
77,Amino acid mixture (4 mM) + Glucose (3 mM),0.165278,12.8,,,,,,,,,,,,,,,,,,,,,,,,
78,Amino acid mixture (4 mM) + Glucose (3 mM),0.165278,20.4,,,,,,,,,,,,,,,,,,,,,,,,
79,Amino acid mixture (4 mM) + Glucose (3 mM),0.133681,14.4,,,,,,,,,,,,,,,,,,,,,,,,
80,Amino acid mixture (4 mM) + Glucose (3 mM),0.136111,20.8,,,,,,,,,,,,,,,,,,,,,,,,
81,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.148264,13.6,,,,,,,,,,,,,,,,,,,,,,,,
82,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.119792,18.4,,,,,,,,,,,,,,,,,,,,,,,,
83,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.177083,16,,,,,,,,,,,,,,,,,,,,,,,,
84,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.119792,20.8,,,,,,,,,,,,,,,,,,,,,,,,
85,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.177083,21.2,,,,,,,,,,,,,,,,,,,,,,,,
86,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.041667,12,,,,,,,,,,,,,,,,,,,,,,,,
87,Amino acid mixture (4 mM) + Glucose (16.7 mM),3.25,10.4,,,,,,,,,,,,,,,,,,,,,,,,
88,Amino acid mixture (4 mM) + Glucose (16.7 mM),2.71875,8,,,,,,,,,,,,,,,,,,,,,,,,
89,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.932292,8.4,,,,,,,,,,,,,,,,,,,,,,,,
90,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.53125,13.6,,,,,,,,,,,,,,,,,,,,,,,,
91,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.125,13.2,,,,,,,,,,,,,,,,,,,,,,,,
92,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.010417,14.8,,,,,,,,,,,,,,,,,,,,,,,,
93,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.244792,8,,,,,,,,,,,,,,,,,,,,,,,,
94,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.296875,13.2,,,,,,,,,,,,,,,,,,,,,,,,
95,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.473958,8,,,,,,,,,,,,,,,,,,,,,,,,
96,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.291667,13.6,,,,,,,,,,,,,,,,,,,,,,,,
97,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.411458,13.6,,,,,,,,,,,,,,,,,,,,,,,,
