TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl),
20,No stimuli,0.41982,8.4545,1000,4.13,22.1,1020,-3.987026,0.441891,21.4359,34.9859,22.77723,3.574219815,1.697228756,14.96170532,2.684888397,13.50689045,559.41918,24.365,-86.367,920.104,963.10918,4.718560194,0.905593794,0.626233972,3.571474574,8.460287119,
21,No stimuli,0.45076,7.8182,,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.37563,8.8182,,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.3447,8.1818,,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.369,9,,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.33586,9.6364,,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.38447,7.7273,,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.34249,8.6364,,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.30713,7.8182,,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.28062,8.1818,,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.28504,8.1818,,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.2298,10.909,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.48611,11.818,,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),1.1799,25.636,,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.61869,27.455,,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.30934,23.455,,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.21654,20.364,,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.20991,16.182,,,,,,,,,,,,,,,,,,,,,,,,,
