TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_SI(aam),G_AUC(aam),G_SI(aam),I_AUC(Glu3),I_SI(Glu3),G_AUC(Glu3),G_SI(Glu3),I_AUC(G16.7),I_SI(G16.7),G_AUC(G16.7),G_SI(G16.7),I_AUC(ibmx),I_SI(ibmx),G_AUC(ibmx),G_SI(ibmx),I_AUC(kcl),I_SI(kcl),G_AUC(kcl),G_SI(kcl)
20,No stimuli,1.657639,20,,,,,-18.90194840000001,2.6813932176653585,1963.6999999999998,5.938775510204081,4.275344000000001,3.3487074927013225,-47,0.7345065034429992,55.70173300000002,19.752931545529307,-152.4000000000001,0.5528394133132757,20.892708999999996,1.5890321506442022,1796.7999999999995,3.2980076303518437,42.40291740000001,19.86544069483651,2163.1800000000003,11.19072708113804
21,No stimuli,1.732986,24.4,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,1.526389,16.8,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,1.596875,20.8,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,1.511806,15.6,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,1.477778,21.6,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,1.249306,16.4,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,1.453472,22.4,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,1.234722,17.6,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,1.351389,20,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.984375,17.2,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),1.011111,18,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),2.228819,101.2,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),3.628819,72.8,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),2.486458,79.8,,,,,,,,,,,,,,,,,,,,,,,,
