TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl)
20,No stimuli,0.015972,,1000,,1.39,60,0.1100632,0.018056,2.878474,8.060762,2.3163888,1.676464111,1.453196379,14.76598404,3.743094646,149.2967071,,,,,,,,,,
21,No stimuli,0.013194,,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.013889,,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.014236,,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.015972,,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.016667,,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.010417,,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.011806,,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.007292,,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.012847,,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.017361,,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.015278,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.012847,,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.0125,,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.015972,,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.013542,,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.016319,,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.016667,,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.017014,,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.014931,,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.012153,,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.019792,,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.015625,,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.015972,,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.011458,,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.014583,,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.013889,,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.016667,,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.016319,,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.015625,,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.015278,,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.015625,,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.018056,,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.018056,,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.018403,,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.015625,,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.011458,,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.013889,,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.014583,,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.012153,,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.018403,,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),0.017708,,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),0.011458,,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),0.010417,,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),0.014236,,,,,,,,,,,,,,,,,,,,,,,,,
65,Amino acid mixture (4 mM) + Glucose (3 mM),0.014236,,,,,,,,,,,,,,,,,,,,,,,,,
66,Amino acid mixture (4 mM) + Glucose (3 mM),0.016667,,,,,,,,,,,,,,,,,,,,,,,,,
67,Amino acid mixture (4 mM) + Glucose (3 mM),0.016667,,,,,,,,,,,,,,,,,,,,,,,,,
68,Amino acid mixture (4 mM) + Glucose (3 mM),0.011111,,,,,,,,,,,,,,,,,,,,,,,,,
69,Amino acid mixture (4 mM) + Glucose (3 mM),0.014236,,,,,,,,,,,,,,,,,,,,,,,,,
70,Amino acid mixture (4 mM) + Glucose (3 mM),0.014931,,,,,,,,,,,,,,,,,,,,,,,,,
71,Amino acid mixture (4 mM) + Glucose (3 mM),0.013889,,,,,,,,,,,,,,,,,,,,,,,,,
