TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl),,
20,No stimuli,0.053472,,1000,,0.8,60,-0.0675704,0.065628,3.720835,6.229166,1.907919,1.589149141,1.304357937,5.192311344,2.903778969,6.593406593,,,,,,,,,,,,
21,No stimuli,0.097222,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.089931,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.055903,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.048611,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.058333,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.051042,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.055903,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.048611,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.099653,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.048611,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.048611,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.072917,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.099653,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.060764,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.060764,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.068056,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.055903,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.080208,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.048611,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.048611,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.055903,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.058333,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.075347,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.068056,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.077778,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.048611,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.065625,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.065625,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.053472,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.068056,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.060764,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.051042,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.048611,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.055903,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.051042,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.065625,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.053472,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.063194,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.048611,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.048611,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),0.048611,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),0.048611,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),0.048611,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),0.048611,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Amino acid mixture (4 mM) + Glucose (3 mM),0.068056,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Amino acid mixture (4 mM) + Glucose (3 mM),0.063194,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Amino acid mixture (4 mM) + Glucose (3 mM),0.070486,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Amino acid mixture (4 mM) + Glucose (3 mM),0.060764,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Amino acid mixture (4 mM) + Glucose (3 mM),0.051042,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Amino acid mixture (4 mM) + Glucose (3 mM),0.048611,,,,,,,,,,,,,,,,,,,,,,,,,,,
