TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_SI(aam),G_AUC(aam),G_SI(aam),I_AUC(Glu3),I_SI(Glu3),G_AUC(Glu3),G_SI(Glu3),I_AUC(G16.7),I_SI(G16.7),G_AUC(G16.7),G_SI(G16.7),I_AUC(ibmx),I_SI(ibmx),G_AUC(ibmx),G_SI(ibmx),I_AUC(kcl),I_SI(kcl),G_AUC(kcl),G_SI(kcl)
20,No stimuli,0.751042,66.8,1000,7.47,49.8,2960,-2.8476424,2.143544556,857.36,1.909799555,3.145143,2.298389538,-406.8,0.196326789,44.164929,10.92697501,452.4,0.790035587,42.796878,2.189978472,987.4,2.104657849,35.4067386,15.74675717,1624.24,3.512145749
21,No stimuli,0.634375,63.2,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.595486,57.2,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.559028,49.6,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.561458,53.2,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.556597,65.2,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.576042,67.6,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.563889,78.4,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.422917,72.4,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.403472,75.6,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.532292,71.6,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.466667,69.2,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.537153,62.4,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),1.081597,82.8,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),1.079167,118.4,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.763194,108.8,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.617361,90.4,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.478819,82,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.471528,93.2,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.396181,93.2,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.315972,102.4,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.512847,92.8,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.420486,91.6,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.337847,72,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.289236,92.4,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.277083,102.8,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.199306,91.2,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.315972,109.2,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.318403,89.6,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.2625,104.8,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.296528,96.8,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.367014,96.8,,,,,,,,,,,,,,,,,,,,,,,,
