TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl),,
20,No stimuli,0.821528,16.6,1000,7.63,6.1,760,0.0661164,1.463196,19.65833,44.432291,3.6674978,2.63330348,1.698112982,5.179589672,3.841954207,3.245026352,593.74,-1,-0.8,404.6,688.56,2.882527147,0.872005988,0.786646201,2.527985075,2.867435159,,
21,No stimuli,0.721875,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.687847,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.687847,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.590625,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.605208,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.510417,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.495833,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.495833,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.490972,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.551736,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.459375,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.367014,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.537153,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,
