TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl),
20,No stimuli,3.0333,15.4,1000,6.52,40.27,1500,-33.48342,4.34327,46.02554,69.73,18.455814,1.050961713,1.654339348,4.881121818,4.76756097,4.76756097,503.3,71.4,-95.6,855.7,816.46,2.721518987,0.86935167,0.718694885,2.994092374,4.432661718,
21,No stimuli,3.0455,16.7,,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,2.9142,16,,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,3.0212,12.8,,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,3.2983,14.9,,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,2.9604,15,,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,2.5764,16.1,,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,2.2604,14.7,,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,2.5764,16.9,,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,2.2653,16.3,,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),2.4354,15.1,,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),2.2507,14.4,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),1.7306,17.2,,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),1.6333,17.4,,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),2.1413,22.4,,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),2.6566,34.2,,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),2.1486,38.2,,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),1.8594,36.2,,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),1.7524,34.2,,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),1.6212,32.2,,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),1.6066,31,,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),1.5385,32.2,,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),1.6042,26.6,,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),1.5969,30.2,,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),1.5653,32,,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),1.2882,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),1.2639,35,,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),1.1764,32.4,,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),1.4267,29,,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),1.2444,29,,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),1.0281,38.8,,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.95764,35.4,,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),1.0281,37,,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),1.0014,37.4,,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),1.0622,34.8,,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.96979,40.4,,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.85069,40.8,,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.82396,39.4,,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.89688,42.8,,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.83854,43,,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.87986,37.6,,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),0.92604,39.4,,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),0.71458,45.8,,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),0.75104,41.4,,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),0.72431,44.6,,,,,,,,,,,,,,,,,,,,,,,,,
