TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_SI(aam),G_AUC(aam),G_SI(aam),I_AUC(Glu3),I_SI(Glu3),G_AUC(Glu3),G_SI(Glu3),I_AUC(G16.7),I_SI(G16.7),G_AUC(G16.7),G_SI(G16.7),I_AUC(ibmx),I_SI(ibmx),G_AUC(ibmx),G_SI(ibmx),I_AUC(kcl),I_SI(kcl),G_AUC(kcl),G_SI(kcl)
20,No stimuli,0.330556,26.2,500,1.66,16.59,528,-1.7704162,3.206548153,712.64,2.724358974,2.243055,2.814535249,-539.4,0.07230658,18.333338,7.147969125,-35.4,0.306122449,42.498607,3.543628087,785.4,3.866535819,25.7888862,30.3879122,738.92,12.90502793
21,No stimuli,0.365972,29.8,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.463194,27.6,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.340278,22.2,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.359722,19.8,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.340972,25,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.261111,29.4,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.272917,25.2,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.3,23,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.267361,22.2,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.330556,21,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.284028,28.6,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.288194,27.2,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.925,48.8,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.884722,68,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.6125,60,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.377083,47.4,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.231944,42.2,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.156944,43.6,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.172917,45.8,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.18125,44.6,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.186806,45.4,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.172222,38.2,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.161111,46,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.088194,52.6,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.172917,43.2,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.149306,54.4,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.13125,49.4,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.122917,49.4,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.115972,44.4,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.089583,55.2,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.134722,49.4,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.138194,55.6,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.165278,50.8,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.140278,44.8,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.118056,53.8,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.082639,57.8,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.120139,54.4,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.163194,58.6,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.155556,50.8,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.11875,55,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),0.095139,61,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),0.085417,4,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),0.166667,4,,,,,,,,,,,,,,,,,,,,,,,,
