TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl)
20,No stimuli,0.498264,11.6,1000,6.27,16.46,684,-2.80437,3.081945,26.036113,27.661456,17.114097,2.987480496,3.488371871,7.099633573,2.380804567,22.32142857,305.68,-3.4,-104.4,845.7,471.22,3.707664884,0.818619583,0.598755832,4.540229885,7.893915757
21,No stimuli,0.478819,12,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.486111,10.7,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.405903,10.4,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.337847,11.8,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.267361,11.2,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.247917,10.9,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.260069,11.6,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.371875,10.9,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.211458,11.5,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.209028,10.1,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.235764,10.2,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.532292,23.6,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.811806,41.6,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.595486,32.6,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.267361,21.6,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.192014,16.6,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.155556,14.6,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.184722,17.8,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.179861,17,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.196875,13.6,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.121528,15.2,,,,,,,,,,,,,,,,,,,,,,,,
