TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl),,
20,No stimuli,1.030556,11.3,1000,6.79,31.6,2820,-10.7138822,5.709374,25.173956,42.416669,17.989795,1.237442973,4.568468761,6.791992842,2.826942096,9.9869964,653.36,189.2,-39.4,1166.2,1099.2,4.234875445,0.947006869,0.743931088,3.653295129,4.646153846,,
21,No stimuli,1.071875,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,1.028125,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,1.09375,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,1.200694,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,1.113194,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.964931,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,1.098611,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,1.064583,12,,,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,1.081597,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),1.115625,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),1.132639,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.892014,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.789931,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),1.045139,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),1.300347,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),1.317361,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),1.067014,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.870139,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.765625,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.768056,36,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.680556,34,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.7875,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.738889,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.729167,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.658681,33.4,,,,,,,,,,,,,,,,,,,,,,,,,,
