TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl),
20,No stimuli,0.143403,22.8,1000,8.22,15.76,1960,3.8149986,1.24201,24.208329,22.843753,12.4096528,4.324892977,1.644612351,9.816263314,2.085176962,9.179959037,655.66,-104.4,188.2,2314.3,1848.28,4.016064257,1.258823529,1.905204461,6.383610451,21.39037433,
21,No stimuli,0.145833,24.7,,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.128819,26.3,,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.128819,24.8,,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.143403,21.6,,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.092361,19.6,,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.106944,20.5,,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.138542,19.3,,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.121528,21.1,,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.116667,19.1,,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.121528,14.5,,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.121528,13.4,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.106944,16,,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.077778,17.6,,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.099653,18.6,,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.277083,80,,,,,,,,,,,,,,,,,,,,,,,,,
