TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl),
20,No stimuli,0.602778,26.2,1000,13.52,36.46,26.973,-3.2192706,1.302774,30.750003,57.869793,8.7563878,2.480874189,2.335598834,3.157241905,3.157241905,4.791192571,829.78,-6.6,-85.2,1383.6,1063.04,2.706576728,0.930232558,0.718623482,2.99247606,3.276003276,
21,No stimuli,0.563889,25,,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.573611,23.3,,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.520139,24.8,,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.456944,24.9,,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.418056,24.8,,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.522569,22.9,,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.464236,23.7,,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.403472,25.5,,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.415625,21.7,,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.35,21.9,,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.311111,30.2,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.495833,59.4,,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.840972,60.8,,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.836111,58.6,,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.605208,52.8,,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.422917,47.8,,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.318403,48.6,,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),1.103472,60.4,,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.294097,54.8,,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.277083,43.4,,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.311111,42,,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.286806,48.8,,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.204167,45.8,,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.274653,50.4,,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.296528,41.4,,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.30625,52.4,,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.245486,46.8,,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.209028,47.4,,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.228472,48.4,,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.222395,55.8,,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.216319,57.6,,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.209028,52.2,,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.206597,45.6,,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.209028,53.2,,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.216319,54.8,,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.211458,52.2,,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.192014,52.2,,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.223611,59.6,,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.21875,55.6,,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.226042,64.2,,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),0.189583,59.2,,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),0.189583,54,,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),0.340278,53.2,,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),0.495833,54,,,,,,,,,,,,,,,,,,,,,,,,,
65,Amino acid mixture (4 mM) + Glucose (3 mM),0.500694,53,,,,,,,,,,,,,,,,,,,,,,,,,
66,Amino acid mixture (4 mM) + Glucose (3 mM),0.347569,55.4,,,,,,,,,,,,,,,,,,,,,,,,,
67,Amino acid mixture (4 mM) + Glucose (3 mM),0.277083,57.6,,,,,,,,,,,,,,,,,,,,,,,,,
68,Amino acid mixture (4 mM) + Glucose (3 mM),0.247917,58.2,,,,,,,,,,,,,,,,,,,,,,,,,
69,Amino acid mixture (4 mM) + Glucose (3 mM),0.267361,54,,,,,,,,,,,,,,,,,,,,,,,,,
70,Amino acid mixture (4 mM) + Glucose (3 mM),0.30625,57.4,,,,,,,,,,,,,,,,,,,,,,,,,
71,Amino acid mixture (4 mM) + Glucose (3 mM),0.260069,52.8,,,,,,,,,,,,,,,,,,,,,,,,,
72,Amino acid mixture (4 mM) + Glucose (3 mM),0.238194,53.4,,,,,,,,,,,,,,,,,,,,,,,,,
73,Amino acid mixture (4 mM) + Glucose (3 mM),0.201736,56.6,,,,,,,,,,,,,,,,,,,,,,,,,
74,Amino acid mixture (4 mM) + Glucose (3 mM),0.260069,58.6,,,,,,,,,,,,,,,,,,,,,,,,,
75,Amino acid mixture (4 mM) + Glucose (3 mM),0.274653,54.8,,,,,,,,,,,,,,,,,,,,,,,,,
76,Amino acid mixture (4 mM) + Glucose (3 mM),0.281944,58.6,,,,,,,,,,,,,,,,,,,,,,,,,
77,Amino acid mixture (4 mM) + Glucose (3 mM),0.223611,59,,,,,,,,,,,,,,,,,,,,,,,,,
78,Amino acid mixture (4 mM) + Glucose (3 mM),0.209028,61.6,,,,,,,,,,,,,,,,,,,,,,,,,
79,Amino acid mixture (4 mM) + Glucose (3 mM),0.21875,58,,,,,,,,,,,,,,,,,,,,,,,,,
80,Amino acid mixture (4 mM) + Glucose (3 mM),0.260069,59.2,,,,,,,,,,,,,,,,,,,,,,,,,
81,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.216319,54.4,,,,,,,,,,,,,,,,,,,,,,,,,
82,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.34375,45.6,,,,,,,,,,,,,,,,,,,,,,,,,
83,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.635417,49.4,,,,,,,,,,,,,,,,,,,,,,,,,
84,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.9375,50.4,,,,,,,,,,,,,,,,,,,,,,,,,
85,Amino acid mixture (4 mM) + Glucose (16.7 mM),2.776042,51.2,,,,,,,,,,,,,,,,,,,,,,,,,
86,Amino acid mixture (4 mM) + Glucose (16.7 mM),2.572917,52.8,,,,,,,,,,,,,,,,,,,,,,,,,
87,Amino acid mixture (4 mM) + Glucose (16.7 mM),2.140625,59.6,,,,,,,,,,,,,,,,,,,,,,,,,
88,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.895833,42.6,,,,,,,,,,,,,,,,,,,,,,,,,
89,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.567708,51.4,,,,,,,,,,,,,,,,,,,,,,,,,
90,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.671875,64.4,,,,,,,,,,,,,,,,,,,,,,,,,
91,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.546875,61.6,,,,,,,,,,,,,,,,,,,,,,,,,
