TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_SI(aam),G_AUC(aam),G_SI(aam),I_AUC(Glu3),I_SI(Glu3),G_AUC(Glu3),G_SI(Glu3),I_AUC(G16.7),I_SI(G16.7),G_AUC(G16.7),G_SI(G16.7),I_AUC(ibmx),I_SI(ibmx),G_AUC(ibmx),G_SI(ibmx),I_AUC(kcl),I_SI(kcl),G_AUC(kcl),G_SI(kcl)
20,No stimuli,0.223438,45.6,1000,8.15,36.8,336,0.2663138,2.495048602,4235.64,5.933869526,0.900171,1.484375799,-1860,0.075414781,15.153824,6.288450921,-383.2,0.096153846,20.807811,2.89594983,58.2,2.151793161,16.6982348,17.47715364,948.08,5.173745174
21,No stimuli,0.235937,47,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.243229,52.6,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.250173,43.6,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.213541,44.8,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.251736,52.6,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.25434,38.4,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.219098,37.2,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.290104,52.2,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.212153,43.4,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.264062,48.6,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.178472,45.4,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.370833,62,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.607291,265.6,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.403299,196.8,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.315799,180.8,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.244271,156.8,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.224826,164,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.22309,153.6,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.231424,170.4,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.235069,148.8,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.229514,168,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.260937,176.8,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.21875,187.2,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.194792,196,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.289583,210.4,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.193056,190.4,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.229166,161.6,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.185243,218.4,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.6125,192,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.197569,167.2,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.177952,220,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.1875,226.4,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.201215,212,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.218576,232,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.203819,211.2,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.256076,207.2,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.186285,218.4,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.183854,206.4,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.183855,201.6,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.167708,227.2,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),0.159896,205.6,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),0.171354,16,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),0.238889,16,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),0.258333,16,,,,,,,,,,,,,,,,,,,,,,,,
65,Amino acid mixture (4 mM) + Glucose (3 mM),0.276042,26.4,,,,,,,,,,,,,,,,,,,,,,,,
66,Amino acid mixture (4 mM) + Glucose (3 mM),0.262848,37.6,,,,,,,,,,,,,,,,,,,,,,,,
67,Amino acid mixture (4 mM) + Glucose (3 mM),0.256076,96.8,,,,,,,,,,,,,,,,,,,,,,,,
68,Amino acid mixture (4 mM) + Glucose (3 mM),0.245312,131.2,,,,,,,,,,,,,,,,,,,,,,,,
69,Amino acid mixture (4 mM) + Glucose (3 mM),0.260416,112,,,,,,,,,,,,,,,,,,,,,,,,
70,Amino acid mixture (4 mM) + Glucose (3 mM),0.280729,145.6,,,,,,,,,,,,,,,,,,,,,,,,
71,Amino acid mixture (4 mM) + Glucose (3 mM),0.257986,136.8,,,,,,,,,,,,,,,,,,,,,,,,
72,Amino acid mixture (4 mM) + Glucose (3 mM),0.240799,146.4,,,,,,,,,,,,,,,,,,,,,,,,
73,Amino acid mixture (4 mM) + Glucose (3 mM),0.290278,172,,,,,,,,,,,,,,,,,,,,,,,,
74,Amino acid mixture (4 mM) + Glucose (3 mM),0.220139,137.6,,,,,,,,,,,,,,,,,,,,,,,,
75,Amino acid mixture (4 mM) + Glucose (3 mM),0.22934,155.2,,,,,,,,,,,,,,,,,,,,,,,,
76,Amino acid mixture (4 mM) + Glucose (3 mM),0.248958,180,,,,,,,,,,,,,,,,,,,,,,,,
77,Amino acid mixture (4 mM) + Glucose (3 mM),0.245659,192.8,,,,,,,,,,,,,,,,,,,,,,,,
78,Amino acid mixture (4 mM) + Glucose (3 mM),0.231597,170.4,,,,,,,,,,,,,,,,,,,,,,,,
79,Amino acid mixture (4 mM) + Glucose (3 mM),0.230382,166.4,,,,,,,,,,,,,,,,,,,,,,,,
80,Amino acid mixture (4 mM) + Glucose (3 mM),0.20625,122.4,,,,,,,,,,,,,,,,,,,,,,,,
81,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.217882,170.4,,,,,,,,,,,,,,,,,,,,,,,,
82,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.240104,39.2,,,,,,,,,,,,,,,,,,,,,,,,
83,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.329514,16,,,,,,,,,,,,,,,,,,,,,,,,
84,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.515104,44,,,,,,,,,,,,,,,,,,,,,,,,
85,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.075,64.8,,,,,,,,,,,,,,,,,,,,,,,,
86,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.360937,128,,,,,,,,,,,,,,,,,,,,,,,,
87,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.4625,160,,,,,,,,,,,,,,,,,,,,,,,,
88,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.302083,178.4,,,,,,,,,,,,,,,,,,,,,,,,
89,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.204687,177.6,,,,,,,,,,,,,,,,,,,,,,,,
90,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.098958,185.6,,,,,,,,,,,,,,,,,,,,,,,,
91,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.027083,169.6,,,,,,,,,,,,,,,,,,,,,,,,
92,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.255729,144,,,,,,,,,,,,,,,,,,,,,,,,
93,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.113542,168.8,,,,,,,,,,,,,,,,,,,,,,,,
