TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_SI(aam),G_AUC(aam),G_SI(aam),I_AUC(Glu3),I_SI(Glu3),G_AUC(Glu3),G_SI(Glu3),I_AUC(G16.7),I_SI(G16.7),G_AUC(G16.7),G_SI(G16.7),I_AUC(ibmx),I_SI(ibmx),G_AUC(ibmx),G_SI(ibmx),I_AUC(kcl),I_SI(kcl),G_AUC(kcl),G_SI(kcl)
20,No stimuli,0.045139,4,800,,0.09,300,-0.4381936,1.397855789,133.6,2.784090909,0.078123,1.858082469,45,0.324074074,0.638198,6.488795405,40.5,0.56022409,0.516665,1.985045066,461,3.273542601,0.6097898,6.232187705,224.9,6.302521008
21,No stimuli,0.044444,6.125,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.04375,6.25,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.036458,5,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.032986,5.625,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.0375,4,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.035417,4.5,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.028472,4,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.030208,4.875,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.029861,4.625,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.028819,4.875,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.031944,4.625,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.037847,6.875,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.045139,9.375,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.030903,9.625,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.026389,9,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.024653,8.125,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.021181,8.125,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.018403,8.125,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.022917,7.75,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.01875,7.75,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.019097,7.75,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.014583,7.375,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.018056,9.625,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.016319,9.875,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.017708,8.25,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.010417,8.75,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.014236,10.25,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.012847,8.375,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.014583,7.25,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.012847,10.125,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.012153,7.75,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.010069,8.5,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.009722,9,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.006944,9,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.014931,9.875,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.008681,9.375,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.009722,11.125,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.011458,11.375,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.011806,9.875,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.009722,12.25,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),0.013542,11,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),0.010069,3.625,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),0.008333,3.5,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),0.013542,7.625,,,,,,,,,,,,,,,,,,,,,,,,
65,Amino acid mixture (4 mM) + Glucose (3 mM),0.015625,8.875,,,,,,,,,,,,,,,,,,,,,,,,
66,Amino acid mixture (4 mM) + Glucose (3 mM),0.019097,11.5,,,,,,,,,,,,,,,,,,,,,,,,
