TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl)
20,No stimuli,0.289236,2,1000,4.33,13.19,361,0.4122232,-0.488541,5.757978,24.500002,2.2988906,2.844636664,1.107595019,6.953330714,4.927235583,3.812203563,133.42,151.2,161,296.4,107.1,2.754491018,0.986666667,0.981375358,1.909547739,1.800687285
21,No stimuli,0.281944,6.6,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.230903,5.8,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.199306,6.6,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.201736,6.5,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.209028,7.5,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.216319,6.3,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.226042,6.5,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.233333,7.5,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.226042,5.6,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.204167,6.5,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.204167,9.2,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.206597,7,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.160417,7,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.196875,7.2,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.318403,16.8,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.403472,10.8,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.529861,4,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.631944,7.8,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.495833,9.8,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.286806,9.2,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.230903,8.8,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.233333,11.2,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.187153,9.8,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.206597,9.2,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.233333,9.4,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.230903,10,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.182292,9.8,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.179861,14.6,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.167708,11.8,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.165278,11.8,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.298958,9.6,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.138542,12.8,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.138542,12.8,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.165278,12.4,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.133681,16.2,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.162847,13.2,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.138542,12,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.148264,15.2,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.157986,16.2,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.160417,18.4,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),0.143403,16.8,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),0.13125,15.6,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),0.099653,16.4,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),0.128819,18.2,,,,,,,,,,,,,,,,,,,,,,,,
65,Amino acid mixture (4 mM) + Glucose (3 mM),0.145833,19.6,,,,,,,,,,,,,,,,,,,,,,,,
66,Amino acid mixture (4 mM) + Glucose (3 mM),0.111806,14.8,,,,,,,,,,,,,,,,,,,,,,,,
67,Amino acid mixture (4 mM) + Glucose (3 mM),0.140972,20.2,,,,,,,,,,,,,,,,,,,,,,,,
68,Amino acid mixture (4 mM) + Glucose (3 mM),0.148264,24,,,,,,,,,,,,,,,,,,,,,,,,
69,Amino acid mixture (4 mM) + Glucose (3 mM),0.133681,21.2,,,,,,,,,,,,,,,,,,,,,,,,
70,Amino acid mixture (4 mM) + Glucose (3 mM),0.170139,19,,,,,,,,,,,,,,,,,,,,,,,,
71,Amino acid mixture (4 mM) + Glucose (3 mM),0.157986,23.6,,,,,,,,,,,,,,,,,,,,,,,,
72,Amino acid mixture (4 mM) + Glucose (3 mM),0.114236,25.2,,,,,,,,,,,,,,,,,,,,,,,,
73,Amino acid mixture (4 mM) + Glucose (3 mM),0.116667,24.2,,,,,,,,,,,,,,,,,,,,,,,,
74,Amino acid mixture (4 mM) + Glucose (3 mM),0.123958,22.8,,,,,,,,,,,,,,,,,,,,,,,,
75,Amino acid mixture (4 mM) + Glucose (3 mM),0.121528,30,,,,,,,,,,,,,,,,,,,,,,,,
76,Amino acid mixture (4 mM) + Glucose (3 mM),0.116667,28,,,,,,,,,,,,,,,,,,,,,,,,
