TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_SI(aam),G_AUC(aam),G_SI(aam),I_AUC(Glu3),I_SI(Glu3),G_AUC(Glu3),G_SI(Glu3),I_AUC(G16.7),I_SI(G16.7),G_AUC(G16.7),G_SI(G16.7),I_AUC(ibmx),I_SI(ibmx),G_AUC(ibmx),G_SI(ibmx),I_AUC(kcl),I_SI(kcl),G_AUC(kcl),G_SI(kcl)
20,No Stimuli,0.680556,40,,51.5,,-2.764513,3.171090771,1690.72,3.412969283,5.750687,2.912796329,5.4,0.675940439,31.406253,9.851251159,-312.8,0.639287098,27.958328,2.010954415,2257.6,3.17016317,34.0548648,14.22306369,2221.64,5.710206995
21,No Stimuli,0.600347,50,,,,,,,,,,,,,,,,,,,,,,,
22,No Stimuli,0.614931,49.2,,,,,,,,,,,,,,,,,,,,,,,
23,No Stimuli,0.561458,46.4,,,,,,,,,,,,,,,,,,,,,,,
24,No Stimuli,0.597917,53.2,,,,,,,,,,,,,,,,,,,,,,,
25,No Stimuli,0.556597,50.4,,,,,,,,,,,,,,,,,,,,,,,
26,No Stimuli,0.498264,50,,,,,,,,,,,,,,,,,,,,,,,
27,No Stimuli,0.500694,49.2,,,,,,,,,,,,,,,,,,,,,,,
28,No Stimuli,0.471528,39.2,,,,,,,,,,,,,,,,,,,,,,,
29,No Stimuli,0.444792,45.6,,,,,,,,,,,,,,,,,,,,,,,
30,"Amino acid Mixure, 4 mM",0.427778,50,,,,,,,,,,,,,,,,,,,,,,,
31,"Amino acid Mixure, 4 mM",0.427778,44,,,,,,,,,,,,,,,,,,,,,,,
32,"Amino acid Mixure, 4 mM",0.731597,69.6,,,,,,,,,,,,,,,,,,,,,,,
33,"Amino acid Mixure, 4 mM",1.567708,159.6,,,,,,,,,,,,,,,,,,,,,,,
34,"Amino acid Mixure, 4 mM",1.028125,160,,,,,,,,,,,,,,,,,,,,,,,
35,"Amino acid Mixure, 4 mM",0.653819,160,,,,,,,,,,,,,,,,,,,,,,,
36,"Amino acid Mixure, 4 mM",0.420486,150.8,,,,,,,,,,,,,,,,,,,,,,,
37,"Amino acid Mixure, 4 mM",0.35,126,,,,,,,,,,,,,,,,,,,,,,,
