TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl)
20,No stimuli,0.55833,67,1000,5.62,30.4,5050,-1.977134,0.74999,14.80939,69.0163,23.12783,1.576640494,1.368967157,4.900645274,9.311368146,3.91213723,1273.8,202.5,-175.5,4919.5,3933.3,3.1167979,0.72761194,0.473856209,5.185185185,3.476702509
21,No stimuli,0.64375,72,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.52708,70.5,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.59167,70.5,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.6875,78,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.57083,76.5,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.53542,76,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.55417,74.5,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.63542,79,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.55833,75,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.5875,73.5,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.57083,50,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.62083,72.5,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.86042,205,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.9,237.5,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.82083,207.5,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.70625,150,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.72292,102.5,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.63958,92.5,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.59583,105,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.52708,95,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.56458,90,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.50833,82.5,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.48333,75,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.49167,70,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.47917,120,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.50625,107.5,,,,,,,,,,,,,,,,,,,,,,,,
