TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl)
20,No stimuli,1.288194,17.1,1000,6.63,16.28,888,-8.7947228,5.558678,54.81146,62.937501,23.901946,2.296839708,3.267973109,10.50505967,2.388828588,23.11910819,662.92,22.2,-247.4,1669.7,662.1,4.236111111,0.856905158,0.679779158,4.739336493,5.066666667
21,No stimuli,1.239583,17.2,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,1.130208,19,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.969792,17.2,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,1.108333,16.6,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,1.032986,16.2,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.887153,18,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.765625,16.6,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.814236,17.7,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.806944,17.9,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.916319,14,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.928472,17.8,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.991667,35.8,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),1.978472,73.2,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),1.647917,49,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.916319,38.8,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.507986,33.6,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.379167,30.8,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.39375,29.2,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.464236,31.2,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.6125,32.6,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.512847,36.4,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.605208,27,,,,,,,,,,,,,,,,,,,,,,,,
