TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_SI(aam),G_AUC(aam),G_SI(aam),I_AUC(Glu3),I_SI(Glu3),G_AUC(Glu3),G_SI(Glu3),I_AUC(G16.7),I_SI(G16.7),G_AUC(G16.7),G_SI(G16.7),I_AUC(ibmx),I_SI(ibmx),G_AUC(ibmx),G_SI(ibmx),I_AUC(kcl),I_SI(kcl),G_AUC(kcl),G_SI(kcl)
20,No Stimuli,2.024653,,,,,-18.9345146,1.87623303,,,6.039933,3.372703869,,,70.486804,13.24386417,,,47.906248,1.915998008,,,62.599165,16.28681036,,
21,No Stimuli,1.990625,,,,,,,,,,,,,,,,,,,,,,,,
22,No Stimuli,2.014931,,,,,,,,,,,,,,,,,,,,,,,,
23,No Stimuli,1.925,,,,,,,,,,,,,,,,,,,,,,,,
24,No Stimuli,2.024653,,,,,,,,,,,,,,,,,,,,,,,,
25,No Stimuli,1.96875,,,,,,,,,,,,,,,,,,,,,,,,
26,No Stimuli,2.051389,,,,,,,,,,,,,,,,,,,,,,,,
27,No Stimuli,2.005208,,,,,,,,,,,,,,,,,,,,,,,,
28,No Stimuli,1.939583,,,,,,,,,,,,,,,,,,,,,,,,
29,No Stimuli,1.893403,,,,,,,,,,,,,,,,,,,,,,,,
30,"Amino acid Mixure, 4 mM",1.798611,,,,,,,,,,,,,,,,,,,,,,,,
31,"Amino acid Mixure, 4 mM",1.852083,,,,,,,,,,,,,,,,,,,,,,,,
32,"Amino acid Mixure, 4 mM",2.189931,,,,,,,,,,,,,,,,,,,,,,,,
33,"Amino acid Mixure, 4 mM",3.699306,,,,,,,,,,,,,,,,,,,,,,,,
34,"Amino acid Mixure, 4 mM",2.612847,,,,,,,,,,,,,,,,,,,,,,,,
35,"Amino acid Mixure, 4 mM",1.956597,,,,,,,,,,,,,,,,,,,,,,,,
36,"Amino acid Mixure, 4 mM",1.813194,,,,,,,,,,,,,,,,,,,,,,,,
37,"Amino acid Mixure, 4 mM",1.521528,,,,,,,,,,,,,,,,,,,,,,,,
38,"Amino acid Mixure, 4 mM",1.239583,,,,,,,,,,,,,,,,,,,,,,,,
39,"Amino acid Mixure, 4 mM",1.164236,,,,,,,,,,,,,,,,,,,,,,,,
40,"Amino acid Mixure, 4 mM",1.1375,,,,,,,,,,,,,,,,,,,,,,,,
41,"Amino acid Mixure, 4 mM",1.125347,,,,,,,,,,,,,,,,,,,,,,,,
42,"Amino acid Mixure, 4 mM",1.222569,,,,,,,,,,,,,,,,,,,,,,,,
43,"Amino acid Mixure, 4 mM",1.310069,,,,,,,,,,,,,,,,,,,,,,,,
44,"Amino acid Mixure, 4 mM",1.278472,,,,,,,,,,,,,,,,,,,,,,,,
45,"Amino acid Mixure, 4 mM",1.276042,,,,,,,,,,,,,,,,,,,,,,,,
46,"Amino acid Mixure, 4 mM",1.348958,,,,,,,,,,,,,,,,,,,,,,,,
47,"Amino acid Mixure, 4 mM",1.344097,,,,,,,,,,,,,,,,,,,,,,,,
48,"Amino acid Mixure, 4 mM",1.237153,,,,,,,,,,,,,,,,,,,,,,,,
49,"Amino acid Mixure, 4 mM",1.144792,,,,,,,,,,,,,,,,,,,,,,,,
50,"Amino acid Mixure, 4 mM",1.225,,,,,,,,,,,,,,,,,,,,,,,,
51,"Amino acid Mixure, 4 mM",1.081597,,,,,,,,,,,,,,,,,,,,,,,,
52,"Amino acid Mixure, 4 mM",1.130208,,,,,,,,,,,,,,,,,,,,,,,,
53,"Amino acid Mixure, 4 mM",0.938194,,,,,,,,,,,,,,,,,,,,,,,,
54,"Amino acid Mixure, 4 mM",0.870139,,,,,,,,,,,,,,,,,,,,,,,,
55,"Amino acid Mixure, 4 mM",0.964931,,,,,,,,,,,,,,,,,,,,,,,,
56,"Amino acid Mixure, 4 mM",0.780208,,,,,,,,,,,,,,,,,,,,,,,,
57,"Amino acid Mixure, 4 mM",0.802083,,,,,,,,,,,,,,,,,,,,,,,,
58,"Amino acid Mixure, 4 mM",0.746181,,,,,,,,,,,,,,,,,,,,,,,,
59,"Amino acid Mixure, 4 mM",0.678125,,,,,,,,,,,,,,,,,,,,,,,,
60,"Amino acid Mixure, 4 mM",0.697569,,,,,,,,,,,,,,,,,,,,,,,,
61,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.631944,,,,,,,,,,,,,,,,,,,,,,,,
62,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.673264,,,,,,,,,,,,,,,,,,,,,,,,
63,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.889583,,,,,,,,,,,,,,,,,,,,,,,,
64,"Amino acid Mixure, 4 mM + Glucose, 3 mM",1.864236,,,,,,,,,,,,,,,,,,,,,,,,
65,"Amino acid Mixure, 4 mM + Glucose, 3 mM",2.498611,,,,,,,,,,,,,,,,,,,,,,,,
66,"Amino acid Mixure, 4 mM + Glucose, 3 mM",1.944444,,,,,,,,,,,,,,,,,,,,,,,,
67,"Amino acid Mixure, 4 mM + Glucose, 3 mM",1.300347,,,,,,,,,,,,,,,,,,,,,,,,
68,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.974653,,,,,,,,,,,,,,,,,,,,,,,,
69,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.850694,,,,,,,,,,,,,,,,,,,,,,,,
70,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.911458,,,,,,,,,,,,,,,,,,,,,,,,
71,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.877431,,,,,,,,,,,,,,,,,,,,,,,,
72,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.865278,,,,,,,,,,,,,,,,,,,,,,,,
73,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.838542,,,,,,,,,,,,,,,,,,,,,,,,
74,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.845833,,,,,,,,,,,,,,,,,,,,,,,,
75,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.957639,,,,,,,,,,,,,,,,,,,,,,,,
76,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.926042,,,,,,,,,,,,,,,,,,,,,,,,
77,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.792361,,,,,,,,,,,,,,,,,,,,,,,,
78,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.746181,,,,,,,,,,,,,,,,,,,,,,,,
79,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.768056,,,,,,,,,,,,,,,,,,,,,,,,
80,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.7,,,,,,,,,,,,,,,,,,,,,,,,
81,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",0.748611,,,,,,,,,,,,,,,,,,,,,,,,
82,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",0.734375,,,,,,,,,,,,,,,,,,,,,,,,
83,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",2.015625,,,,,,,,,,,,,,,,,,,,,,,,
84,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",7.921875,,,,,,,,,,,,,,,,,,,,,,,,
85,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",10.41667,,,,,,,,,,,,,,,,,,,,,,,,
86,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",7.296875,,,,,,,,,,,,,,,,,,,,,,,,
87,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",5.369792,,,,,,,,,,,,,,,,,,,,,,,,
88,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",3.973958,,,,,,,,,,,,,,,,,,,,,,,,
89,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",3.458333,,,,,,,,,,,,,,,,,,,,,,,,
90,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",3.630208,,,,,,,,,,,,,,,,,,,,,,,,
91,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",3.494792,,,,,,,,,,,,,,,,,,,,,,,,
92,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",3.786458,,,,,,,,,,,,,,,,,,,,,,,,
93,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",3.4375,,,,,,,,,,,,,,,,,,,,,,,,
94,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",3.880208,,,,,,,,,,,,,,,,,,,,,,,,
95,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",3.979167,,,,,,,,,,,,,,,,,,,,,,,,
96,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",4.067708,,,,,,,,,,,,,,,,,,,,,,,,
97,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",4.265625,,,,,,,,,,,,,,,,,,,,,,,,
98,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",4.666667,,,,,,,,,,,,,,,,,,,,,,,,
99,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",4.453125,,,,,,,,,,,,,,,,,,,,,,,,
100,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",4.619792,,,,,,,,,,,,,,,,,,,,,,,,
101,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",4.020833,,,,,,,,,,,,,,,,,,,,,,,,
102,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",3.96875,,,,,,,,,,,,,,,,,,,,,,,,
103,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",4.354167,,,,,,,,,,,,,,,,,,,,,,,,
