TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_SI(aam),G_AUC(aam),G_SI(aam),I_AUC(Glu3),I_SI(Glu3),G_AUC(Glu3),G_SI(Glu3),I_AUC(G16.7),I_SI(G16.7),G_AUC(G16.7),G_SI(G16.7),I_AUC(ibmx),I_SI(ibmx),G_AUC(ibmx),G_SI(ibmx),I_AUC(kcl),I_SI(kcl),G_AUC(kcl),G_SI(kcl)
20,No stimuli,1.910417,2,1000,1.23,25.48,1698,-3.8441718,4.403484715,237.02,11.05042017,7.106944,2.687197516,55.3,0.234899329,85.593057,14.64661455,-145.7,0.367892977,90.562491,2.394977462,118.8,2.898383372,20.2363166,30.39512764,284.4,8.163265306
21,No stimuli,1.429167,4.1,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,1.419444,4.2,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,1.378125,2,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,1.144792,2,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,1.144792,2,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,1.225,2.5,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,1.011111,2.1,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,1.023264,2.6,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,1.035417,2.7,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.775347,2,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.806944,2.6,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),2.352778,22.8,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),4.790625,26.3,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),3.536458,17,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),2.160764,12.1,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),1.378125,8,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),1.023264,7.9,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.843403,8.8,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.731597,7.2,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.729167,5.2,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.775347,6.7,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.619792,5.5,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.673264,7.4,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.738889,7.5,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.648958,8,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.758333,8.2,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.639236,8.7,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.498264,7.9,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.539583,8.3,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.546875,11.2,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.486111,7.6,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.493403,11,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.464236,10.2,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.415625,9.9,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.442361,13.2,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.420486,10.4,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.39375,10.8,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.4375,12.5,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.442361,11.4,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.318403,14.5,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),0.340278,12.7,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),0.386458,2.8,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),0.469097,3,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),0.697569,6.6,,,,,,,,,,,,,,,,,,,,,,,,
65,Amino acid mixture (4 mM) + Glucose (3 mM),0.935764,8.3,,,,,,,,,,,,,,,,,,,,,,,,
66,Amino acid mixture (4 mM) + Glucose (3 mM),0.74375,11.8,,,,,,,,,,,,,,,,,,,,,,,,
67,Amino acid mixture (4 mM) + Glucose (3 mM),0.690278,16.4,,,,,,,,,,,,,,,,,,,,,,,,
68,Amino acid mixture (4 mM) + Glucose (3 mM),0.734028,15.9,,,,,,,,,,,,,,,,,,,,,,,,
69,Amino acid mixture (4 mM) + Glucose (3 mM),0.894444,19.6,,,,,,,,,,,,,,,,,,,,,,,,
70,Amino acid mixture (4 mM) + Glucose (3 mM),1.023264,17.2,,,,,,,,,,,,,,,,,,,,,,,,
71,Amino acid mixture (4 mM) + Glucose (3 mM),1.081597,15.4,,,,,,,,,,,,,,,,,,,,,,,,
72,Amino acid mixture (4 mM) + Glucose (3 mM),0.909028,14.5,,,,,,,,,,,,,,,,,,,,,,,,
73,Amino acid mixture (4 mM) + Glucose (3 mM),0.996528,17.3,,,,,,,,,,,,,,,,,,,,,,,,
74,Amino acid mixture (4 mM) + Glucose (3 mM),0.952778,20.7,,,,,,,,,,,,,,,,,,,,,,,,
75,Amino acid mixture (4 mM) + Glucose (3 mM),0.838542,21.8,,,,,,,,,,,,,,,,,,,,,,,,
76,Amino acid mixture (4 mM) + Glucose (3 mM),0.816667,17.1,,,,,,,,,,,,,,,,,,,,,,,,
77,Amino acid mixture (4 mM) + Glucose (3 mM),0.714583,17.7,,,,,,,,,,,,,,,,,,,,,,,,
78,Amino acid mixture (4 mM) + Glucose (3 mM),0.661111,15.7,,,,,,,,,,,,,,,,,,,,,,,,
79,Amino acid mixture (4 mM) + Glucose (3 mM),0.682986,19.7,,,,,,,,,,,,,,,,,,,,,,,,
