TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl),
20,No stimuli,0.30625,4.8,1000,0.98,46.8,144,0.7320802,2.525342,21.392013,59.294788,8.9758348,4.255318295,5.04042753,10.44283443,4.08789808,8.50840663,446.96,74,-251.3,712.6,1014.88,8.013245033,0.6,0.391274238,4.875148633,13.35149864,
21,No stimuli,0.277083,6.2,,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.238194,5.5,,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.192014,4.9,,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.230903,5.2,,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.235764,6.1,,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.257639,4.4,,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.257639,6,,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.308681,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.311111,6.2,,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.199306,6.4,,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.221181,6.4,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.780208,26,,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),1.166667,48.4,,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.6125,41.6,,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.376736,25.6,,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.240625,18.4,,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.296528,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.272222,22.8,,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.257639,21.6,,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.281944,19.2,,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.252778,13.6,,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.238194,12.4,,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.245486,16.8,,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.235764,15.4,,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.206597,10.8,,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.238194,10.4,,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.177431,16,,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.250347,17.2,,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.2625,14.8,,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.277083,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.216319,30.8,,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.264931,19.6,,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.308681,20.4,,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.245486,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.204167,18.4,,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.252778,15.2,,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.170139,22,,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.148264,19.2,,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.165278,22.8,,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.165278,20.8,,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),0.175,22.8,,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),0.194444,13.2,,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),0.233333,18.8,,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),0.303819,20,,,,,,,,,,,,,,,,,,,,,,,,,
65,Amino acid mixture (4 mM) + Glucose (3 mM),0.909028,28,,,,,,,,,,,,,,,,,,,,,,,,,
66,Amino acid mixture (4 mM) + Glucose (3 mM),0.255208,15.6,,,,,,,,,,,,,,,,,,,,,,,,,
67,Amino acid mixture (4 mM) + Glucose (3 mM),0.260069,12,,,,,,,,,,,,,,,,,,,,,,,,,
68,Amino acid mixture (4 mM) + Glucose (3 mM),0.281944,19.6,,,,,,,,,,,,,,,,,,,,,,,,,
69,Amino acid mixture (4 mM) + Glucose (3 mM),0.269792,26,,,,,,,,,,,,,,,,,,,,,,,,,
70,Amino acid mixture (4 mM) + Glucose (3 mM),0.281944,17.6,,,,,,,,,,,,,,,,,,,,,,,,,
71,Amino acid mixture (4 mM) + Glucose (3 mM),0.332986,25.2,,,,,,,,,,,,,,,,,,,,,,,,,
72,Amino acid mixture (4 mM) + Glucose (3 mM),0.252778,28.8,,,,,,,,,,,,,,,,,,,,,,,,,
73,Amino acid mixture (4 mM) + Glucose (3 mM),0.279514,30.8,,,,,,,,,,,,,,,,,,,,,,,,,
74,Amino acid mixture (4 mM) + Glucose (3 mM),0.247917,22.8,,,,,,,,,,,,,,,,,,,,,,,,,
75,Amino acid mixture (4 mM) + Glucose (3 mM),0.223611,28.4,,,,,,,,,,,,,,,,,,,,,,,,,
76,Amino acid mixture (4 mM) + Glucose (3 mM),0.247917,28.4,,,,,,,,,,,,,,,,,,,,,,,,,
