TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_SI(aam),G_AUC(aam),G_SI(aam),I_AUC(Glu3),I_SI(Glu3),G_AUC(Glu3),G_SI(Glu3),I_AUC(G16.7),I_SI(G16.7),G_AUC(G16.7),G_SI(G16.7),I_AUC(ibmx),I_SI(ibmx),G_AUC(ibmx),G_SI(ibmx),I_AUC(kcl),I_SI(kcl),G_AUC(kcl),G_SI(kcl)
20,No stimuli,0.574306,19.6,,,,,-5.183481800000001,1.4415720090526318,822.3600000000002,3.02571860816944,1.5666699999999985,1.9252739139467072,56,0.5804111245465539,5.633332000000001,4.7846890116984495,-81.60000000000014,0.6692111959287532,7.823613000000002,2.5772617130165494,2272.2,4.077471967380224,9.987225,11.035832775733246,1335.2400000000002,16.152019002375297
21,No stimuli,0.531944,23,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.476389,27.2,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.492361,25.6,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.430556,20.2,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.523611,23,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.520139,28.2,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.468056,28,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.461806,26.4,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.391667,26.6,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.423611,23.6,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.508333,22.8,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.681944,47.2,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.532639,80,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.349306,74,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.317361,59,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.295833,50.8,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.289583,40.6,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.313889,43,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.280556,44,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.319444,46.2,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.28125,47.2,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.306944,44.6,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.314583,47.8,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.275694,46.8,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.288889,53.4,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.2875,53.6,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.267361,55.4,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.222917,47,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.213889,48.2,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.234028,56.4,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.220833,50.4,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.242361,56.8,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.24375,49.6,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.20625,60.8,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.224306,62,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.2375,65.8,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.261111,70.2,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.329861,67.4,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.227083,68,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.282639,59.4,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),0.265972,60,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),0.213889,38.4,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),0.384722,43.2,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),0.409028,59.2,,,,,,,,,,,,,,,,,,,,,,,,
65,Amino acid mixture (4 mM) + Glucose (3 mM),0.427778,62,,,,,,,,,,,,,,,,,,,,,,,,
66,Amino acid mixture (4 mM) + Glucose (3 mM),0.329861,71.2,,,,,,,,,,,,,,,,,,,,,,,,
