TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl)
20,No stimuli,0.097222,,1000,,,60,-0.486805,0.319446,6.587499,16.148611,2.112498,2.261908571,2.68966298,14.07453652,3.659610967,11.36361689,,,,,,,,,,
21,No stimuli,0.081597,,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.071181,,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.095486,,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.092014,,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.071181,,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.119792,,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.097222,,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.079861,,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.069444,,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.081597,,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.064236,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.064236,,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.15625,,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.197917,,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.159722,,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.128472,,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.057292,,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.0625,,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.050347,,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.072917,,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.053819,,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.041667,,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.065972,,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.059028,,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.074653,,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.052083,,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.057292,,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.059028,,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.074653,,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.076389,,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.105903,,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.045139,,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.043403,,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.034722,,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.034722,,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.034722,,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.064236,,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.041667,,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.0625,,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.048611,,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),0.034722,,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),0.050347,,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),0.055556,,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),0.064236,,,,,,,,,,,,,,,,,,,,,,,,,
65,Amino acid mixture (4 mM) + Glucose (3 mM),0.086806,,,,,,,,,,,,,,,,,,,,,,,,,
66,Amino acid mixture (4 mM) + Glucose (3 mM),0.107639,,,,,,,,,,,,,,,,,,,,,,,,,
67,Amino acid mixture (4 mM) + Glucose (3 mM),0.059028,,,,,,,,,,,,,,,,,,,,,,,,,
68,Amino acid mixture (4 mM) + Glucose (3 mM),0.090278,,,,,,,,,,,,,,,,,,,,,,,,,
69,Amino acid mixture (4 mM) + Glucose (3 mM),0.052083,,,,,,,,,,,,,,,,,,,,,,,,,
70,Amino acid mixture (4 mM) + Glucose (3 mM),0.069444,,,,,,,,,,,,,,,,,,,,,,,,,
71,Amino acid mixture (4 mM) + Glucose (3 mM),0.135417,,,,,,,,,,,,,,,,,,,,,,,,,
72,Amino acid mixture (4 mM) + Glucose (3 mM),0.045139,,,,,,,,,,,,,,,,,,,,,,,,,
73,Amino acid mixture (4 mM) + Glucose (3 mM),0.055556,,,,,,,,,,,,,,,,,,,,,,,,,
74,Amino acid mixture (4 mM) + Glucose (3 mM),0.069444,,,,,,,,,,,,,,,,,,,,,,,,,
75,Amino acid mixture (4 mM) + Glucose (3 mM),0.071181,,,,,,,,,,,,,,,,,,,,,,,,,
76,Amino acid mixture (4 mM) + Glucose (3 mM),0.053819,,,,,,,,,,,,,,,,,,,,,,,,,
77,Amino acid mixture (4 mM) + Glucose (3 mM),0.0625,,,,,,,,,,,,,,,,,,,,,,,,,
