TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_SI(aam),G_AUC(aam),G_SI(aam),I_AUC(Glu3),I_SI(Glu3),G_AUC(Glu3),G_SI(Glu3),I_AUC(G16.7),I_SI(G16.7),G_AUC(G16.7),G_SI(G16.7),I_AUC(ibmx),I_SI(ibmx),G_AUC(ibmx),G_SI(ibmx),I_AUC(kcl),I_SI(kcl),G_AUC(kcl),G_SI(kcl)
20,No stimuli,1.207986,20.8,1000,,31.2,,-9.39917059999999,2.3735046445628223,916.1600000000001,4.566210045662101,0.9284799999999995,1.8549451489673872,-79,0.5146124523506989,37.944795,12.408309750307183,-610.6,0.2861035422343324,27.562503000000007,1.9122722732308652,1077.6,3.8434163701067616,27.185552,13.686264033815634,4036.28,11.904761904761905
21,No stimuli,1.09375,24.4,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,1.084028,8,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,1.088889,15.2,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,1.1,17.6,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,1.081597,14.8,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,1.030556,25.6,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,1.242014,54.4,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,1.067014,32.4,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.862847,48,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.972222,28,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.865278,12.8,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),1.426736,91.2,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),2.508333,160,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),1.995486,160,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),1.652778,130.4,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),1.2,80.4,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.955208,78.4,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),1.035417,61.2,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.687847,46.8,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.646528,51.2,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.731597,55.6,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.597917,69.6,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.702431,37.6,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.563889,44.4,,,,,,,,,,,,,,,,,,,,,,,,
