TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl),,
20,No stimuli,0.303819,21.3,1000,4.09,26.18,247,5.1683386,-0.870143,22.408688,71.807291,8.8267338,4.285718257,0.988698508,12.74287761,4.875183554,10.21234893,508.44,-24.4,-29,365.8,336.64,2.307692308,0.846994536,0.888542479,2.015706806,2.106918239,,
21,No stimuli,0.323264,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.250347,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.260069,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.277083,23,,,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.235764,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.281944,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.277083,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.235764,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.228472,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.162847,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.247917,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.260069,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.206597,30,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.216319,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.386458,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),1.079167,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.901736,19,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.855556,23,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.840972,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.712153,37.8,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.639236,36,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.605208,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,
