TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl),
20,No stimuli,0.588194,10.5,1000,,13.85,1386,-2.223471,2.362503,43.483332,93.411462,33.8552098,2.058289461,2.799296514,18.31130461,5.070995702,34.75068584,434.8,-55.2,62.4,1043,232.6,4.346938776,0.726495726,0.660522273,3.934262948,10.91891892,
21,No stimuli,0.529861,10.1,,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.454514,11.7,,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.493403,10.5,,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.405903,8.7,,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.323264,9.3,,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.286806,10.5,,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.255208,8.2,,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.235764,12.1,,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.233333,8.9,,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.230903,8.8,,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.162847,10.2,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.238194,17,,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.549306,42.6,,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.512847,41.4,,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.454514,32.8,,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.269792,26.2,,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.230903,20.2,,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.182292,21.8,,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.182292,18.8,,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.167708,17.6,,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.153125,20,,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.155556,18.8,,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.13125,16.6,,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.150694,25,,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.133681,21.4,,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.128819,25,,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.165278,24.2,,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.138542,18.2,,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.138542,22.2,,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.187153,27.4,,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.184722,21.8,,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.126389,23.2,,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.126389,26.4,,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.143403,25.2,,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.114236,25.4,,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.136111,24.8,,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.140972,30.2,,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.126389,28.2,,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.145833,28,,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.140972,29.2,,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),0.111806,30.4,,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),0.13125,21.8,,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),0.160417,23,,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),0.148264,27.6,,,,,,,,,,,,,,,,,,,,,,,,,
65,Amino acid mixture (4 mM) + Glucose (3 mM),0.238194,32.6,,,,,,,,,,,,,,,,,,,,,,,,,
66,Amino acid mixture (4 mM) + Glucose (3 mM),0.301389,26,,,,,,,,,,,,,,,,,,,,,,,,,
67,Amino acid mixture (4 mM) + Glucose (3 mM),0.359722,23.6,,,,,,,,,,,,,,,,,,,,,,,,,
68,Amino acid mixture (4 mM) + Glucose (3 mM),0.381597,25.4,,,,,,,,,,,,,,,,,,,,,,,,,
69,Amino acid mixture (4 mM) + Glucose (3 mM),0.347569,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
70,Amino acid mixture (4 mM) + Glucose (3 mM),0.386458,25.6,,,,,,,,,,,,,,,,,,,,,,,,,
71,Amino acid mixture (4 mM) + Glucose (3 mM),0.294097,26.4,,,,,,,,,,,,,,,,,,,,,,,,,
72,Amino acid mixture (4 mM) + Glucose (3 mM),0.281944,21.2,,,,,,,,,,,,,,,,,,,,,,,,,
73,Amino acid mixture (4 mM) + Glucose (3 mM),0.221181,20.4,,,,,,,,,,,,,,,,,,,,,,,,,
74,Amino acid mixture (4 mM) + Glucose (3 mM),0.257639,24,,,,,,,,,,,,,,,,,,,,,,,,,
75,Amino acid mixture (4 mM) + Glucose (3 mM),0.240625,21,,,,,,,,,,,,,,,,,,,,,,,,,
76,Amino acid mixture (4 mM) + Glucose (3 mM),0.260069,22.8,,,,,,,,,,,,,,,,,,,,,,,,,
77,Amino acid mixture (4 mM) + Glucose (3 mM),0.264931,22.2,,,,,,,,,,,,,,,,,,,,,,,,,
78,Amino acid mixture (4 mM) + Glucose (3 mM),0.257639,27.6,,,,,,,,,,,,,,,,,,,,,,,,,
79,Amino acid mixture (4 mM) + Glucose (3 mM),0.247917,26,,,,,,,,,,,,,,,,,,,,,,,,,
80,Amino acid mixture (4 mM) + Glucose (3 mM),0.230903,31.6,,,,,,,,,,,,,,,,,,,,,,,,,
81,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.284375,30.6,,,,,,,,,,,,,,,,,,,,,,,,,
82,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.328125,21.6,,,,,,,,,,,,,,,,,,,,,,,,,
83,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.708333,17.2,,,,,,,,,,,,,,,,,,,,,,,,,
84,Amino acid mixture (4 mM) + Glucose (16.7 mM),3.0625,20.2,,,,,,,,,,,,,,,,,,,,,,,,,
85,Amino acid mixture (4 mM) + Glucose (16.7 mM),2.666667,29.2,,,,,,,,,,,,,,,,,,,,,,,,,
86,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.807292,33.4,,,,,,,,,,,,,,,,,,,,,,,,,
87,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.526042,36,,,,,,,,,,,,,,,,,,,,,,,,,
88,Amino acid mixture (4 mM) + Glucose (16.7 mM),2.072917,33.6,,,,,,,,,,,,,,,,,,,,,,,,,
89,Amino acid mixture (4 mM) + Glucose (16.7 mM),2.708333,34.6,,,,,,,,,,,,,,,,,,,,,,,,,
90,Amino acid mixture (4 mM) + Glucose (16.7 mM),2.572917,33,,,,,,,,,,,,,,,,,,,,,,,,,
91,Amino acid mixture (4 mM) + Glucose (16.7 mM),3.791667,30.2,,,,,,,,,,,,,,,,,,,,,,,,,
92,Amino acid mixture (4 mM) + Glucose (16.7 mM),3.734375,31.6,,,,,,,,,,,,,,,,,,,,,,,,,
93,Amino acid mixture (4 mM) + Glucose (16.7 mM),4.619792,27.6,,,,,,,,,,,,,,,,,,,,,,,,,
94,Amino acid mixture (4 mM) + Glucose (16.7 mM),4.057292,30,,,,,,,,,,,,,,,,,,,,,,,,,
95,Amino acid mixture (4 mM) + Glucose (16.7 mM),4.317708,23.8,,,,,,,,,,,,,,,,,,,,,,,,,
96,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.802083,29.4,,,,,,,,,,,,,,,,,,,,,,,,,
97,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.692708,28,,,,,,,,,,,,,,,,,,,,,,,,,
98,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.979167,36,,,,,,,,,,,,,,,,,,,,,,,,,
99,Amino acid mixture (4 mM) + Glucose (16.7 mM),2.619792,29.4,,,,,,,,,,,,,,,,,,,,,,,,,
100,Amino acid mixture (4 mM) + Glucose (16.7 mM),2.177083,27.8,,,,,,,,,,,,,,,,,,,,,,,,,
101,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),2.369792,25.4,,,,,,,,,,,,,,,,,,,,,,,,,
102,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),3.171875,31.5,,,,,,,,,,,,,,,,,,,,,,,,,
103,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),4.0625,32.5,,,,,,,,,,,,,,,,,,,,,,,,,
104,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),6.536458,59,,,,,,,,,,,,,,,,,,,,,,,,,
105,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),8.880208,69,,,,,,,,,,,,,,,,,,,,,,,,,
106,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),8.432292,65,,,,,,,,,,,,,,,,,,,,,,,,,
107,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),7.598958,73,,,,,,,,,,,,,,,,,,,,,,,,,
108,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),7.895833,93.5,,,,,,,,,,,,,,,,,,,,,,,,,
109,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),7.052083,85,,,,,,,,,,,,,,,,,,,,,,,,,
110,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),6.760417,113,,,,,,,,,,,,,,,,,,,,,,,,,
111,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),7.114583,116.5,,,,,,,,,,,,,,,,,,,,,,,,,
112,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),7.135417,95.5,,,,,,,,,,,,,,,,,,,,,,,,,
113,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),7.010417,82,,,,,,,,,,,,,,,,,,,,,,,,,
114,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),6.630208,100,,,,,,,,,,,,,,,,,,,,,,,,,
115,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),6.276042,108.5,,,,,,,,,,,,,,,,,,,,,,,,,
116,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),6.427083,118.5,,,,,,,,,,,,,,,,,,,,,,,,,
117,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),8.03125,112,,,,,,,,,,,,,,,,,,,,,,,,,
118,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),6.09375,109,,,,,,,,,,,,,,,,,,,,,,,,,
119,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),6.598958,113.5,,,,,,,,,,,,,,,,,,,,,,,,,
120,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),10.41667,43,,,,,,,,,,,,,,,,,,,,,,,,,
121,No stimuli,10.41667,41.5,,,,,,,,,,,,,,,,,,,,,,,,,
122,No stimuli,10.41667,11,,,,,,,,,,,,,,,,,,,,,,,,,
123,No stimuli,10.41667,7.3,,,,,,,,,,,,,,,,,,,,,,,,,
124,No stimuli,4.861111,5.3,,,,,,,,,,,,,,,,,,,,,,,,,
125,No stimuli,4.861111,3.7,,,,,,,,,,,,,,,,,,,,,,,,,
126,No stimuli,4.861111,3.3,,,,,,,,,,,,,,,,,,,,,,,,,
127,No stimuli,4.861111,4.5,,,,,,,,,,,,,,,,,,,,,,,,,
128,No stimuli,3.832986,3.7,,,,,,,,,,,,,,,,,,,,,,,,,
129,No stimuli,3.128125,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
130,No stimuli,1.886111,3.3,,,,,,,,,,,,,,,,,,,,,,,,,
131,No stimuli,1.178819,3.9,,,,,,,,,,,,,,,,,,,,,,,,,
132,No stimuli,0.819097,4.4,,,,,,,,,,,,,,,,,,,,,,,,,
133,No stimuli,0.580903,5.5,,,,,,,,,,,,,,,,,,,,,,,,,
134,No stimuli,0.403472,6,,,,,,,,,,,,,,,,,,,,,,,,,
135,No stimuli,0.359722,4.2,,,,,,,,,,,,,,,,,,,,,,,,,
136,No stimuli,0.284375,5.1,,,,,,,,,,,,,,,,,,,,,,,,,
137,No stimuli,0.281944,3.1,,,,,,,,,,,,,,,,,,,,,,,,,
138,No stimuli,0.267361,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
139,No stimuli,0.211458,3.3,,,,,,,,,,,,,,,,,,,,,,,,,
140,No stimuli,0.243056,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
141,KCl (30 mM),0.104514,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
142,KCl (30 mM),3.598958,26,,,,,,,,,,,,,,,,,,,,,,,,,
143,KCl (30 mM),8.953125,40.4,,,,,,,,,,,,,,,,,,,,,,,,,
144,KCl (30 mM),3.963542,26.4,,,,,,,,,,,,,,,,,,,,,,,,,
145,KCl (30 mM),1.723958,16,,,,,,,,,,,,,,,,,,,,,,,,,
146,KCl (30 mM),1.661458,12,,,,,,,,,,,,,,,,,,,,,,,,,
147,KCl (30 mM),1.692708,13.2,,,,,,,,,,,,,,,,,,,,,,,,,
148,KCl (30 mM),1.635417,13.6,,,,,,,,,,,,,,,,,,,,,,,,,
149,KCl (30 mM),1.828125,14,,,,,,,,,,,,,,,,,,,,,,,,,
150,KCl (30 mM),1.630208,14.4,,,,,,,,,,,,,,,,,,,,,,,,,
151,KCl (30 mM),1.463542,12.8,,,,,,,,,,,,,,,,,,,,,,,,,
152,KCl (30 mM),1.411458,15.6,,,,,,,,,,,,,,,,,,,,,,,,,
153,KCl (30 mM),1.494792,11.2,,,,,,,,,,,,,,,,,,,,,,,,,
154,KCl (30 mM),1.458333,14.8,,,,,,,,,,,,,,,,,,,,,,,,,
155,KCl (30 mM),1.5,10.8,,,,,,,,,,,,,,,,,,,,,,,,,
156,KCl (30 mM),1.369792,15.2,,,,,,,,,,,,,,,,,,,,,,,,,
157,KCl (30 mM),1.046875,11.6,,,,,,,,,,,,,,,,,,,,,,,,,
158,KCl (30 mM),1.078125,17.6,,,,,,,,,,,,,,,,,,,,,,,,,
159,KCl (30 mM),1.135417,14.8,,,,,,,,,,,,,,,,,,,,,,,,,
