TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_SI(aam),G_AUC(aam),G_SI(aam),I_AUC(Glu3),I_SI(Glu3),G_AUC(Glu3),G_SI(Glu3),I_AUC(G16.7),I_SI(G16.7),G_AUC(G16.7),G_SI(G16.7),I_AUC(ibmx),I_SI(ibmx),G_AUC(ibmx),G_SI(ibmx),I_AUC(kcl),I_SI(kcl),G_AUC(kcl),G_SI(kcl)
20,No Stimuli,0.461806,37.2,,29.8,,-5.0093784,2.196428213,2722.44,5,1.988199,2.613643377,148.5,0.578667501,12.893055,7.596603522,-831.6,0.599008012,21.187503,3.157561019,2040.4,2.845188285,12.1516002,12.32680781,3943.38,14.86988848
21,No Stimuli,0.439931,31.6,,,,,,,,,,,,,,,,,,,,,,,
22,No Stimuli,0.488542,32,,,,,,,,,,,,,,,,,,,,,,,
23,No Stimuli,0.48125,35.2,,,,,,,,,,,,,,,,,,,,,,,
24,No Stimuli,0.456944,23.2,,,,,,,,,,,,,,,,,,,,,,,
25,No Stimuli,0.466667,32.4,,,,,,,,,,,,,,,,,,,,,,,
26,No Stimuli,0.410764,33.6,,,,,,,,,,,,,,,,,,,,,,,
27,No Stimuli,0.384028,34.8,,,,,,,,,,,,,,,,,,,,,,,
28,No Stimuli,0.391319,32,,,,,,,,,,,,,,,,,,,,,,,
29,No Stimuli,0.388889,26,,,,,,,,,,,,,,,,,,,,,,,
30,"Amino acid Mixure, 4 mM",0.352431,36,,,,,,,,,,,,,,,,,,,,,,,
31,"Amino acid Mixure, 4 mM",0.359722,34,,,,,,,,,,,,,,,,,,,,,,,
32,"Amino acid Mixure, 4 mM",0.534722,45.2,,,,,,,,,,,,,,,,,,,,,,,
33,"Amino acid Mixure, 4 mM",0.896875,138,,,,,,,,,,,,,,,,,,,,,,,
34,"Amino acid Mixure, 4 mM",0.576042,92.4,,,,,,,,,,,,,,,,,,,,,,,
35,"Amino acid Mixure, 4 mM",0.435069,121.8,,,,,,,,,,,,,,,,,,,,,,,
36,"Amino acid Mixure, 4 mM",0.303819,114.8,,,,,,,,,,,,,,,,,,,,,,,
37,"Amino acid Mixure, 4 mM",0.269792,114.1,,,,,,,,,,,,,,,,,,,,,,,
38,"Amino acid Mixure, 4 mM",0.235764,149.2,,,,,,,,,,,,,,,,,,,,,,,
39,"Amino acid Mixure, 4 mM",0.247917,154.8,,,,,,,,,,,,,,,,,,,,,,,
40,"Amino acid Mixure, 4 mM",0.199306,148.4,,,,,,,,,,,,,,,,,,,,,,,
41,"Amino acid Mixure, 4 mM",0.238194,120.4,,,,,,,,,,,,,,,,,,,,,,,
42,"Amino acid Mixure, 4 mM",0.206597,112.4,,,,,,,,,,,,,,,,,,,,,,,
43,"Amino acid Mixure, 4 mM",0.192014,138.8,,,,,,,,,,,,,,,,,,,,,,,
44,"Amino acid Mixure, 4 mM",0.172569,151.2,,,,,,,,,,,,,,,,,,,,,,,
45,"Amino acid Mixure, 4 mM",0.194444,151.2,,,,,,,,,,,,,,,,,,,,,,,
46,"Amino acid Mixure, 4 mM",0.257639,128.4,,,,,,,,,,,,,,,,,,,,,,,
47,"Amino acid Mixure, 4 mM",0.201736,151.2,,,,,,,,,,,,,,,,,,,,,,,
48,"Amino acid Mixure, 4 mM",0.199306,106.4,,,,,,,,,,,,,,,,,,,,,,,
49,"Amino acid Mixure, 4 mM",0.211458,107.2,,,,,,,,,,,,,,,,,,,,,,,
50,"Amino acid Mixure, 4 mM",0.170139,119.6,,,,,,,,,,,,,,,,,,,,,,,
51,"Amino acid Mixure, 4 mM",0.13125,136.4,,,,,,,,,,,,,,,,,,,,,,,
52,"Amino acid Mixure, 4 mM",0.170139,105.7,,,,,,,,,,,,,,,,,,,,,,,
53,"Amino acid Mixure, 4 mM",0.126389,136.4,,,,,,,,,,,,,,,,,,,,,,,
54,"Amino acid Mixure, 4 mM",0.111806,158.8,,,,,,,,,,,,,,,,,,,,,,,
55,"Amino acid Mixure, 4 mM",0.119097,94.8,,,,,,,,,,,,,,,,,,,,,,,
56,"Amino acid Mixure, 4 mM",0.097222,118.4,,,,,,,,,,,,,,,,,,,,,,,
57,"Amino acid Mixure, 4 mM",0.121528,154.4,,,,,,,,,,,,,,,,,,,,,,,
58,"Amino acid Mixure, 4 mM",0.106944,149.6,,,,,,,,,,,,,,,,,,,,,,,
59,"Amino acid Mixure, 4 mM",0.102083,109.2,,,,,,,,,,,,,,,,,,,,,,,
60,"Amino acid Mixure, 4 mM",0.106944,107.8,,,,,,,,,,,,,,,,,,,,,,,
61,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.106944,112,,,,,,,,,,,,,,,,,,,,,,,
62,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.150694,92.4,,,,,,,,,,,,,,,,,,,,,,,
63,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.13125,98,,,,,,,,,,,,,,,,,,,,,,,
64,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.170139,131.6,,,,,,,,,,,,,,,,,,,,,,,
65,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.223611,145.6,,,,,,,,,,,,,,,,,,,,,,,
66,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.279514,74,,,,,,,,,,,,,,,,,,,,,,,
67,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.226042,136.4,,,,,,,,,,,,,,,,,,,,,,,
68,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.213889,131.6,,,,,,,,,,,,,,,,,,,,,,,
69,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.206597,131.6,,,,,,,,,,,,,,,,,,,,,,,
70,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.209028,143.5,,,,,,,,,,,,,,,,,,,,,,,
71,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.165278,135.1,,,,,,,,,,,,,,,,,,,,,,,
72,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.226042,156.4,,,,,,,,,,,,,,,,,,,,,,,
73,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.194444,142.4,,,,,,,,,,,,,,,,,,,,,,,
74,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.213889,146.8,,,,,,,,,,,,,,,,,,,,,,,
75,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.223611,142.4,,,,,,,,,,,,,,,,,,,,,,,
76,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.216319,134.4,,,,,,,,,,,,,,,,,,,,,,,
77,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.240625,143.5,,,,,,,,,,,,,,,,,,,,,,,
78,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.199306,154,,,,,,,,,,,,,,,,,,,,,,,
79,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.252778,158.2,,,,,,,,,,,,,,,,,,,,,,,
80,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.277083,196.2,,,,,,,,,,,,,,,,,,,,,,,
81,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",0.189583,175.2,,,,,,,,,,,,,,,,,,,,,,,
82,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",0.244792,145.2,,,,,,,,,,,,,,,,,,,,,,,
83,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",0.458333,114.6,,,,,,,,,,,,,,,,,,,,,,,
84,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",1.515625,106.8,,,,,,,,,,,,,,,,,,,,,,,
85,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",1.802083,94.2,,,,,,,,,,,,,,,,,,,,,,,
86,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",1.390625,103.2,,,,,,,,,,,,,,,,,,,,,,,
87,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",1.260417,110.4,,,,,,,,,,,,,,,,,,,,,,,
