TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_SI(aam),G_AUC(aam),G_SI(aam),I_AUC(Glu3),I_SI(Glu3),G_AUC(Glu3),G_SI(Glu3),I_AUC(G16.7),I_SI(G16.7),G_AUC(G16.7),G_SI(G16.7),I_AUC(ibmx),I_SI(ibmx),G_AUC(ibmx),G_SI(ibmx),I_AUC(kcl),I_SI(kcl),G_AUC(kcl),G_SI(kcl)
20,No stimuli,0.943056,16.8,1000,12.61,161.5,3540,8.6022152,2.396593552,1733.04,7.735849057,9.442713,1.96504294,866.8,1.034195163,88.865985,8.728546427,314.4,0.768674001,24.749999,1.46909528,866.4,2.149959688,46.7913126,13.44284822,2472.36,4.842615012
21,No stimuli,0.957639,15.2,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.977083,21.2,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,1.05,18,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.838542,18.8,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.836111,16,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.777778,15.6,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.707292,13.2,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.738889,21.2,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.935764,18.8,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.802083,14.8,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.719444,15.2,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),1.018403,40.4,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),1.903125,100.8,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),1.915278,64.8,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),1.609028,52,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),1.633333,49.2,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),1.489931,57.2,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),1.815625,62,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),1.081597,56.8,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.758333,55.6,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.741319,46,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.792361,48.8,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.607639,49.2,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.588194,46.4,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),1.025694,78.4,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),1.074306,106.4,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.755903,56.8,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.678125,61.2,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),1.210417,125.2,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),1.276042,104.8,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.709722,72.4,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.889583,84.8,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),1.441319,130.8,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),1.254167,103.6,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.996528,95.6,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),1.178819,131.2,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),1.506944,110.4,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.872569,90,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.486111,76.4,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.544444,71.6,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),1.319792,138,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),1.152083,134.4,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),1.385417,154.4,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),1.504514,142.8,,,,,,,,,,,,,,,,,,,,,,,,
65,Amino acid mixture (4 mM) + Glucose (3 mM),1.436458,127.2,,,,,,,,,,,,,,,,,,,,,,,,
66,Amino acid mixture (4 mM) + Glucose (3 mM),1.506944,119.2,,,,,,,,,,,,,,,,,,,,,,,,
67,Amino acid mixture (4 mM) + Glucose (3 mM),1.545833,99.2,,,,,,,,,,,,,,,,,,,,,,,,
68,Amino acid mixture (4 mM) + Glucose (3 mM),1.404861,152.8,,,,,,,,,,,,,,,,,,,,,,,,
69,Amino acid mixture (4 mM) + Glucose (3 mM),1.803472,160,,,,,,,,,,,,,,,,,,,,,,,,
70,Amino acid mixture (4 mM) + Glucose (3 mM),1.557986,160,,,,,,,,,,,,,,,,,,,,,,,,
71,Amino acid mixture (4 mM) + Glucose (3 mM),1.677083,160,,,,,,,,,,,,,,,,,,,,,,,,
72,Amino acid mixture (4 mM) + Glucose (3 mM),1.217708,132,,,,,,,,,,,,,,,,,,,,,,,,
73,Amino acid mixture (4 mM) + Glucose (3 mM),1.409722,142.4,,,,,,,,,,,,,,,,,,,,,,,,
74,Amino acid mixture (4 mM) + Glucose (3 mM),1.572569,160,,,,,,,,,,,,,,,,,,,,,,,,
75,Amino acid mixture (4 mM) + Glucose (3 mM),1.336806,112,,,,,,,,,,,,,,,,,,,,,,,,
76,Amino acid mixture (4 mM) + Glucose (3 mM),0.736458,108.4,,,,,,,,,,,,,,,,,,,,,,,,
77,Amino acid mixture (4 mM) + Glucose (3 mM),1.540972,160,,,,,,,,,,,,,,,,,,,,,,,,
78,Amino acid mixture (4 mM) + Glucose (3 mM),1.497222,160,,,,,,,,,,,,,,,,,,,,,,,,
79,Amino acid mixture (4 mM) + Glucose (3 mM),0.906597,102.8,,,,,,,,,,,,,,,,,,,,,,,,
80,Amino acid mixture (4 mM) + Glucose (3 mM),1.285764,159.6,,,,,,,,,,,,,,,,,,,,,,,,
81,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.560417,165,,,,,,,,,,,,,,,,,,,,,,,,
82,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.541667,169.8,,,,,,,,,,,,,,,,,,,,,,,,
83,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.322917,155.4,,,,,,,,,,,,,,,,,,,,,,,,
84,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.8125,142.8,,,,,,,,,,,,,,,,,,,,,,,,
85,Amino acid mixture (4 mM) + Glucose (16.7 mM),4.479167,153.6,,,,,,,,,,,,,,,,,,,,,,,,
86,Amino acid mixture (4 mM) + Glucose (16.7 mM),2.930556,146.4,,,,,,,,,,,,,,,,,,,,,,,,
87,Amino acid mixture (4 mM) + Glucose (16.7 mM),2.555556,132.6,,,,,,,,,,,,,,,,,,,,,,,,
88,Amino acid mixture (4 mM) + Glucose (16.7 mM),10.41667,177.6,,,,,,,,,,,,,,,,,,,,,,,,
89,Amino acid mixture (4 mM) + Glucose (16.7 mM),10.39063,180.6,,,,,,,,,,,,,,,,,,,,,,,,
90,Amino acid mixture (4 mM) + Glucose (16.7 mM),8.380208,209.4,,,,,,,,,,,,,,,,,,,,,,,,
91,Amino acid mixture (4 mM) + Glucose (16.7 mM),4.541667,106.2,,,,,,,,,,,,,,,,,,,,,,,,
92,Amino acid mixture (4 mM) + Glucose (16.7 mM),5.03125,109.8,,,,,,,,,,,,,,,,,,,,,,,,
93,Amino acid mixture (4 mM) + Glucose (16.7 mM),7.296875,144,,,,,,,,,,,,,,,,,,,,,,,,
94,Amino acid mixture (4 mM) + Glucose (16.7 mM),6.833333,182.4,,,,,,,,,,,,,,,,,,,,,,,,
95,Amino acid mixture (4 mM) + Glucose (16.7 mM),8.755208,157.8,,,,,,,,,,,,,,,,,,,,,,,,
96,Amino acid mixture (4 mM) + Glucose (16.7 mM),5.510417,142.8,,,,,,,,,,,,,,,,,,,,,,,,
97,Amino acid mixture (4 mM) + Glucose (16.7 mM),9.067708,148.2,,,,,,,,,,,,,,,,,,,,,,,,
98,Amino acid mixture (4 mM) + Glucose (16.7 mM),7.536458,155,,,,,,,,,,,,,,,,,,,,,,,,
99,Amino acid mixture (4 mM) + Glucose (16.7 mM),5.598958,150,,,,,,,,,,,,,,,,,,,,,,,,
100,Amino acid mixture (4 mM) + Glucose (16.7 mM),7.171875,148.2,,,,,,,,,,,,,,,,,,,,,,,,
101,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),7.791667,144,,,,,,,,,,,,,,,,,,,,,,,,
102,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),7.354167,132,,,,,,,,,,,,,,,,,,,,,,,,
103,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),7,157.6,,,,,,,,,,,,,,,,,,,,,,,,
