TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_SI(aam),G_AUC(aam),G_SI(aam),I_AUC(Glu3),I_SI(Glu3),G_AUC(Glu3),G_SI(Glu3),I_AUC(G16.7),I_SI(G16.7),G_AUC(G16.7),G_SI(G16.7),I_AUC(ibmx),I_SI(ibmx),G_AUC(ibmx),G_SI(ibmx),I_AUC(kcl),I_SI(kcl),G_AUC(kcl),G_SI(kcl)
20,No stimuli,0.539583,32.8,1000,24.53,20.5,530,-0.3013926,2.764704573,2673.26,6.09228972,-0.712148,1.448818908,-130.4,0.263808739,25.662846,11.63379332,340.1,0.801330187,48.890626,3.457178981,2237.9,2.25363655,13.5043078,12.74194366,2913.26,4.901960784
21,No stimuli,0.495833,53.6,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.459375,38,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.490972,28.4,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.444792,36.4,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.427778,32.8,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.405903,34,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.4375,34.8,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.367014,35.6,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.427778,34,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.396181,35.6,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.357292,38,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.704861,96,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),1.142361,108.5,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.83125,124.6,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.614931,143.5,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.573611,137.2,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.444792,156.4,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.396181,108,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.381597,105.6,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.320833,103.6,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.379167,102.4,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.413194,130.4,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.359722,119.2,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.332986,120,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.328125,134.4,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.354861,123.6,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.340278,129.2,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.296528,103.6,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.286806,108.5,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.294097,112,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.318403,110.6,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.269792,112.7,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.277083,120.4,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.284375,100.1,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.264931,101.5,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.255208,174.3,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.561458,208.6,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.272222,151.9,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.221181,151.2,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.233333,163.1,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),0.192014,162.4,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),0.175,67.2,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),0.269792,44.8,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),0.386458,78.4,,,,,,,,,,,,,,,,,,,,,,,,
65,Amino acid mixture (4 mM) + Glucose (3 mM),0.447222,105.7,,,,,,,,,,,,,,,,,,,,,,,,
66,Amino acid mixture (4 mM) + Glucose (3 mM),0.35,153.3,,,,,,,,,,,,,,,,,,,,,,,,
67,Amino acid mixture (4 mM) + Glucose (3 mM),0.264931,154,,,,,,,,,,,,,,,,,,,,,,,,
68,Amino acid mixture (4 mM) + Glucose (3 mM),0.252778,172.9,,,,,,,,,,,,,,,,,,,,,,,,
69,Amino acid mixture (4 mM) + Glucose (3 mM),0.250347,242.9,,,,,,,,,,,,,,,,,,,,,,,,
70,Amino acid mixture (4 mM) + Glucose (3 mM),0.243056,221.9,,,,,,,,,,,,,,,,,,,,,,,,
71,Amino acid mixture (4 mM) + Glucose (3 mM),0.243056,224.7,,,,,,,,,,,,,,,,,,,,,,,,
72,Amino acid mixture (4 mM) + Glucose (3 mM),0.277083,178.5,,,,,,,,,,,,,,,,,,,,,,,,
73,Amino acid mixture (4 mM) + Glucose (3 mM),0.269792,183.4,,,,,,,,,,,,,,,,,,,,,,,,
74,Amino acid mixture (4 mM) + Glucose (3 mM),0.264931,183.4,,,,,,,,,,,,,,,,,,,,,,,,
75,Amino acid mixture (4 mM) + Glucose (3 mM),0.272222,160.3,,,,,,,,,,,,,,,,,,,,,,,,
76,Amino acid mixture (4 mM) + Glucose (3 mM),0.252778,195.3,,,,,,,,,,,,,,,,,,,,,,,,
77,Amino acid mixture (4 mM) + Glucose (3 mM),0.264931,205.1,,,,,,,,,,,,,,,,,,,,,,,,
78,Amino acid mixture (4 mM) + Glucose (3 mM),0.260069,186.9,,,,,,,,,,,,,,,,,,,,,,,,
79,Amino acid mixture (4 mM) + Glucose (3 mM),0.274653,196.7,,,,,,,,,,,,,,,,,,,,,,,,
80,Amino acid mixture (4 mM) + Glucose (3 mM),0.250347,148.2,,,,,,,,,,,,,,,,,,,,,,,,
81,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.269792,271.8,,,,,,,,,,,,,,,,,,,,,,,,
82,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.348958,244.8,,,,,,,,,,,,,,,,,,,,,,,,
83,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.473958,232.2,,,,,,,,,,,,,,,,,,,,,,,,
84,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.578125,183,,,,,,,,,,,,,,,,,,,,,,,,
85,Amino acid mixture (4 mM) + Glucose (16.7 mM),3.03125,149.4,,,,,,,,,,,,,,,,,,,,,,,,
86,Amino acid mixture (4 mM) + Glucose (16.7 mM),2.645833,163.2,,,,,,,,,,,,,,,,,,,,,,,,
87,Amino acid mixture (4 mM) + Glucose (16.7 mM),2.046875,178.2,,,,,,,,,,,,,,,,,,,,,,,,
88,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.510417,196.8,,,,,,,,,,,,,,,,,,,,,,,,
89,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.296875,219.6,,,,,,,,,,,,,,,,,,,,,,,,
90,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.447917,196.2,,,,,,,,,,,,,,,,,,,,,,,,
91,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.473958,219.6,,,,,,,,,,,,,,,,,,,,,,,,
