TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_SI(aam),G_AUC(aam),G_SI(aam),I_AUC(Glu3),I_SI(Glu3),G_AUC(Glu3),G_SI(Glu3),I_AUC(G16.7),I_SI(G16.7),G_AUC(G16.7),G_SI(G16.7),I_AUC(ibmx),I_SI(ibmx),G_AUC(ibmx),G_SI(ibmx),I_AUC(kcl),I_SI(kcl),G_AUC(kcl),G_SI(kcl)
20,No stimuli,0.758333,22.8,1000,,41.38,2180,3.0994480000000024,2.02456779400864,856.3199999999999,6.988636363636364,1.1302100000000017,1.3079783171808823,162.99999999999977,0.5174927113702623,39.471529000000004,6.8215848013608404,-348.8000000000002,0.46206503137478605,58.89062700000002,2.5194210169491527,1888.8000000000006,4.954732510288066,18.4409694,14.959178459643178,1031.6399999999999,8.471720818291216
21,No stimuli,0.661111,20.4,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.692708,18.4,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.653819,19.2,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.627083,16.8,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.605208,10.8,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.539583,11.2,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.525,16.8,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.517708,15.6,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.483681,16,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.515278,16.4,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.48125,8.8,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.736458,46.8,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.624653,33.2,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),1.081597,98.4,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.789931,67.2,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.777778,48,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.695139,42.8,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.561458,31.2,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.580903,30.8,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.537153,35.6,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.544444,26.8,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.665972,32.8,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.704861,33.6,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.690278,29.6,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.704861,32,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.661111,36.4,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.595486,38.8,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.731597,40,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.607639,34.8,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.758333,41.6,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.680556,44.4,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.525,41.2,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.614931,46.4,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.617361,45.2,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.556597,35.6,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.559028,56,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.585764,56.8,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.476389,57.6,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.503125,52.4,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.495833,51.6,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),0.461806,54,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),0.415625,30,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),0.520139,28.4,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),0.685417,50.8,,,,,,,,,,,,,,,,,,,,,,,,
65,Amino acid mixture (4 mM) + Glucose (3 mM),0.65625,63.2,,,,,,,,,,,,,,,,,,,,,,,,
66,Amino acid mixture (4 mM) + Glucose (3 mM),0.641667,64.4,,,,,,,,,,,,,,,,,,,,,,,,
67,Amino acid mixture (4 mM) + Glucose (3 mM),0.600347,66.8,,,,,,,,,,,,,,,,,,,,,,,,
68,Amino acid mixture (4 mM) + Glucose (3 mM),0.527431,58.8,,,,,,,,,,,,,,,,,,,,,,,,
69,Amino acid mixture (4 mM) + Glucose (3 mM),0.515278,68.4,,,,,,,,,,,,,,,,,,,,,,,,
70,Amino acid mixture (4 mM) + Glucose (3 mM),0.636806,68,,,,,,,,,,,,,,,,,,,,,,,,
71,Amino acid mixture (4 mM) + Glucose (3 mM),0.646528,67.6,,,,,,,,,,,,,,,,,,,,,,,,
72,Amino acid mixture (4 mM) + Glucose (3 mM),0.629514,74.8,,,,,,,,,,,,,,,,,,,,,,,,
73,Amino acid mixture (4 mM) + Glucose (3 mM),0.610069,66.8,,,,,,,,,,,,,,,,,,,,,,,,
74,Amino acid mixture (4 mM) + Glucose (3 mM),0.65625,71.2,,,,,,,,,,,,,,,,,,,,,,,,
75,Amino acid mixture (4 mM) + Glucose (3 mM),0.624653,76.8,,,,,,,,,,,,,,,,,,,,,,,,
76,Amino acid mixture (4 mM) + Glucose (3 mM),0.490972,55.2,,,,,,,,,,,,,,,,,,,,,,,,
77,Amino acid mixture (4 mM) + Glucose (3 mM),0.607639,61.2,,,,,,,,,,,,,,,,,,,,,,,,
