TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl),
20,No stimuli,0.135764,15.9,1000,,35.97,4800,-0.4173612,1.226109,2.725419,4.667713,3.9299546,2.634020228,2.437299122,2.814599953,2.225685034,7.379554754,1179.56,22.8,-383.4,1690.4,937.56,7.780548628,0.368906456,0.570175439,3.722741433,10.23454158,
21,No stimuli,0.124306,15,,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.126389,12,,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.134028,18.8,,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.142708,16.3,,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.139931,17.2,,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.181597,16.9,,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.131944,14.6,,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.117708,16.2,,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.102431,15.3,,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.113542,16,,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.119444,9.8,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.230208,50,,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.354861,106.4,,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.191319,124.8,,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.139931,56.4,,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.129861,53.6,,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.114236,40.8,,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.114236,41.2,,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.118403,36.4,,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.112847,39,,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.108681,40.8,,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.108333,45,,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.111458,44.8,,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.112153,39,,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.109375,45.6,,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.1,54.8,,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.100347,49.6,,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.105903,49.2,,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.121875,64,,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.107986,69.2,,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.098264,49.2,,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.095833,52.8,,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.094097,57.2,,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.105556,62.8,,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.097222,74.8,,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.096528,59.2,,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.085069,61.6,,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.088542,62,,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.082292,61.2,,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.090625,59.6,,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),0.080208,69.2,,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),0.128472,51.6,,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),0.105556,22.4,,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),0.154514,49.2,,,,,,,,,,,,,,,,,,,,,,,,,
65,Amino acid mixture (4 mM) + Glucose (3 mM),0.167708,50.8,,,,,,,,,,,,,,,,,,,,,,,,,
66,Amino acid mixture (4 mM) + Glucose (3 mM),0.168056,54.4,,,,,,,,,,,,,,,,,,,,,,,,,
