TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl)
20,No stimuli,0.018096,14.364,1000,1.96,0.16,135,-0.0369358,0.176134,0.321026,0.51041,0.336052,1.338678031,2.145416215,2.290271831,2.187831734,2.901205597,58.5423,75.14,73.637,65.4085,148.0308,1.577479627,0.94502238,0.96330179,1.441554943,2.059694129
21,No stimuli,0.0199,11.636,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.017045,13.545,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.017045,11,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.018624,13.818,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.017677,13.182,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.019571,12.182,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.018939,11.909,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.020518,13.909,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.021149,13.364,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.018624,13,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.019886,14.545,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.017677,16,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.01673,20.364,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.026199,18.364,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.018939,17.636,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.019255,18.545,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.021465,14.364,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.016414,17.636,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.019255,13.455,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.017677,16.909,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.020833,16.545,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.017045,16.364,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.017361,13.455,,,,,,,,,,,,,,,,,,,,,,,,
