TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_SI(aam),G_AUC(aam),G_SI(aam),I_AUC(Glu3),I_SI(Glu3),G_AUC(Glu3),G_SI(Glu3),I_AUC(G16.7),I_SI(G16.7),G_AUC(G16.7),G_SI(G16.7),I_AUC(ibmx),I_SI(ibmx),G_AUC(ibmx),G_SI(ibmx),I_AUC(kcl),I_SI(kcl),G_AUC(kcl),G_SI(kcl)
20,No Stimuli,0.627083,6,,11.74,1530,-4.5281262,3.241706302,1177.02,5.226337449,1.232292,2.857145256,-174,0.552560647,39.568403,20.98081514,-444.6,0.451977401,24.458331,1.708475986,1575.2,5.426900585,18.6986796,15.53253815,1021.8,14.4
21,No Stimuli,0.605208,9.6,,,,,,,,,,,,,,,,,,,,,,,
22,No Stimuli,0.631944,10.5,,,,,,,,,,,,,,,,,,,,,,,
23,No Stimuli,0.493403,12.3,,,,,,,,,,,,,,,,,,,,,,,
24,No Stimuli,0.527431,6,,,,,,,,,,,,,,,,,,,,,,,
25,No Stimuli,0.527431,12.3,,,,,,,,,,,,,,,,,,,,,,,
26,No Stimuli,0.495833,14.7,,,,,,,,,,,,,,,,,,,,,,,
27,No Stimuli,0.600347,14.4,,,,,,,,,,,,,,,,,,,,,,,
28,No Stimuli,0.507986,15.6,,,,,,,,,,,,,,,,,,,,,,,
29,No Stimuli,0.432639,15.9,,,,,,,,,,,,,,,,,,,,,,,
30,"Amino acid Mixure, 4 mM",0.435069,8.1,,,,,,,,,,,,,,,,,,,,,,,
31,"Amino acid Mixure, 4 mM",0.415625,15.6,,,,,,,,,,,,,,,,,,,,,,,
32,"Amino acid Mixure, 4 mM",0.923611,27.9,,,,,,,,,,,,,,,,,,,,,,,
33,"Amino acid Mixure, 4 mM",1.6625,54.9,,,,,,,,,,,,,,,,,,,,,,,
34,"Amino acid Mixure, 4 mM",1.156944,75,,,,,,,,,,,,,,,,,,,,,,,
35,"Amino acid Mixure, 4 mM",0.994097,70.2,,,,,,,,,,,,,,,,,,,,,,,
36,"Amino acid Mixure, 4 mM",0.495833,64.5,,,,,,,,,,,,,,,,,,,,,,,
37,"Amino acid Mixure, 4 mM",0.405903,57,,,,,,,,,,,,,,,,,,,,,,,
38,"Amino acid Mixure, 4 mM",0.347569,45.9,,,,,,,,,,,,,,,,,,,,,,,
39,"Amino acid Mixure, 4 mM",0.396181,52.5,,,,,,,,,,,,,,,,,,,,,,,
40,"Amino acid Mixure, 4 mM",0.294097,53.7,,,,,,,,,,,,,,,,,,,,,,,
41,"Amino acid Mixure, 4 mM",0.230903,42.9,,,,,,,,,,,,,,,,,,,,,,,
42,"Amino acid Mixure, 4 mM",0.274653,47.7,,,,,,,,,,,,,,,,,,,,,,,
43,"Amino acid Mixure, 4 mM",0.294097,46.8,,,,,,,,,,,,,,,,,,,,,,,
44,"Amino acid Mixure, 4 mM",0.335417,46.8,,,,,,,,,,,,,,,,,,,,,,,
45,"Amino acid Mixure, 4 mM",0.177431,45.9,,,,,,,,,,,,,,,,,,,,,,,
46,"Amino acid Mixure, 4 mM",0.167708,51.9,,,,,,,,,,,,,,,,,,,,,,,
47,"Amino acid Mixure, 4 mM",0.160417,57.6,,,,,,,,,,,,,,,,,,,,,,,
48,"Amino acid Mixure, 4 mM",0.179861,42.3,,,,,,,,,,,,,,,,,,,,,,,
49,"Amino acid Mixure, 4 mM",0.172569,51.3,,,,,,,,,,,,,,,,,,,,,,,
50,"Amino acid Mixure, 4 mM",0.199306,47.1,,,,,,,,,,,,,,,,,,,,,,,
51,"Amino acid Mixure, 4 mM",0.182292,51.6,,,,,,,,,,,,,,,,,,,,,,,
52,"Amino acid Mixure, 4 mM",0.216319,54.3,,,,,,,,,,,,,,,,,,,,,,,
53,"Amino acid Mixure, 4 mM",0.194444,63.9,,,,,,,,,,,,,,,,,,,,,,,
54,"Amino acid Mixure, 4 mM",0.267361,60,,,,,,,,,,,,,,,,,,,,,,,
55,"Amino acid Mixure, 4 mM",0.194444,59.7,,,,,,,,,,,,,,,,,,,,,,,
56,"Amino acid Mixure, 4 mM",0.160417,58.5,,,,,,,,,,,,,,,,,,,,,,,
57,"Amino acid Mixure, 4 mM",0.106944,69,,,,,,,,,,,,,,,,,,,,,,,
58,"Amino acid Mixure, 4 mM",0.092361,76.2,,,,,,,,,,,,,,,,,,,,,,,
59,"Amino acid Mixure, 4 mM",0.080208,69.3,,,,,,,,,,,,,,,,,,,,,,,
60,"Amino acid Mixure, 4 mM",0.155556,60.9,,,,,,,,,,,,,,,,,,,,,,,
61,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.138542,57,,,,,,,,,,,,,,,,,,,,,,,
62,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.138542,36.9,,,,,,,,,,,,,,,,,,,,,,,
63,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.230903,48.9,,,,,,,,,,,,,,,,,,,,,,,
64,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.252778,59.1,,,,,,,,,,,,,,,,,,,,,,,
65,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.340278,54.9,,,,,,,,,,,,,,,,,,,,,,,
66,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.281944,55.5,,,,,,,,,,,,,,,,,,,,,,,
67,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.223611,55.2,,,,,,,,,,,,,,,,,,,,,,,
68,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.192014,66.3,,,,,,,,,,,,,,,,,,,,,,,
69,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.140972,68.4,,,,,,,,,,,,,,,,,,,,,,,
70,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.155556,56.1,,,,,,,,,,,,,,,,,,,,,,,
71,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.150694,63.3,,,,,,,,,,,,,,,,,,,,,,,
72,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.145833,62.7,,,,,,,,,,,,,,,,,,,,,,,
73,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.121528,51.9,,,,,,,,,,,,,,,,,,,,,,,
74,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.145833,52.8,,,,,,,,,,,,,,,,,,,,,,,
75,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.140972,54,,,,,,,,,,,,,,,,,,,,,,,
76,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.123958,59.7,,,,,,,,,,,,,,,,,,,,,,,
77,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.126389,55.2,,,,,,,,,,,,,,,,,,,,,,,
78,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.192014,61.5,,,,,,,,,,,,,,,,,,,,,,,
