TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_SI(aam),G_AUC(aam),G_SI(aam),I_AUC(Glu3),I_SI(Glu3),G_AUC(Glu3),G_SI(Glu3),I_AUC(G16.7),I_SI(G16.7),G_AUC(G16.7),G_SI(G16.7),I_AUC(ibmx),I_SI(ibmx),G_AUC(ibmx),G_SI(ibmx),I_AUC(kcl),I_SI(kcl),G_AUC(kcl),G_SI(kcl)
20,No stimuli,0.892014,11.6,1000,6.69,57.9,2990,-5.3156268,2.904929001,803.76,4.906103286,5.123616,2.787683409,-19.6,0.288753799,57.058684,12.68912207,141.4,0.566620879,51.499998,2.217343627,-42.4,1.415004748,44.008058,21.41109985,1152.52,6.852589641
21,No stimuli,0.836111,18.4,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.828819,19.6,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.717014,19.6,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.823958,31.2,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.724306,17.6,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.719444,16.8,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.709722,19.6,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.668403,16.4,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.629514,14.8,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.641667,16.8,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.624653,19.2,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),1.239583,36.8,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),2.005208,83.6,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),1.237153,70,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.760764,58,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.65625,49.6,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.512847,38.8,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.495833,37.2,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.422917,32,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.418056,30.4,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.379167,28.8,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.432639,28.8,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.405903,29.6,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.415625,34,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.39375,39.2,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.347569,42.4,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.35,40,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.359722,40,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.376736,38.8,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.35,47.2,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.364583,52.8,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.342708,44,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.352431,29.2,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.359722,54.8,,,,,,,,,,,,,,,,,,,,,,,,
