TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl),
20,No stimuli,0.243056,31,1000,,28.33,825,0.9260398,0.437503,22.523963,26.640625,11.0534746,2.858694019,1.481482363,7.779422378,2.425397029,30.05232177,1312.28,-169.8,-348.4,1372.6,1804.94,4.329501916,0.603290676,0.384615385,2.519487751,8.968609865,
21,No stimuli,0.286806,30.5,,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.245486,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.291667,29.1,,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.182292,31.2,,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.240625,32.9,,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.192014,33.4,,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.226042,30.2,,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.235764,31,,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.223611,29.1,,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.184722,25.8,,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.182292,29,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.140972,50,,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.525,79.2,,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.639236,135.6,,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.398611,97.2,,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.335417,84.8,,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.281944,57.6,,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.264931,52.4,,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.243056,61.2,,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.340278,58.4,,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.240625,60.8,,,,,,,,,,,,,,,,,,,,,,,,,
