TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl)
20,No stimuli,0.033333,,1000,,11.46,60,-0.0825004,0.08125,1.120833,2.513197,0.6836838,1.336235434,23.8235654,5.884081442,3.145163609,5.444482845,,,,,,,,,,
21,No stimuli,0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.0375,,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.032292,,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.028125,,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.022917,,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),0.03125,,,,,,,,,,,,,,,,,,,,,,,,,
65,Amino acid mixture (4 mM) + Glucose (3 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
66,Amino acid mixture (4 mM) + Glucose (3 mM),0.036458,,,,,,,,,,,,,,,,,,,,,,,,,
67,Amino acid mixture (4 mM) + Glucose (3 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
68,Amino acid mixture (4 mM) + Glucose (3 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
69,Amino acid mixture (4 mM) + Glucose (3 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
70,Amino acid mixture (4 mM) + Glucose (3 mM),0.046875,,,,,,,,,,,,,,,,,,,,,,,,,
71,Amino acid mixture (4 mM) + Glucose (3 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
72,Amino acid mixture (4 mM) + Glucose (3 mM),0.040625,,,,,,,,,,,,,,,,,,,,,,,,,
73,Amino acid mixture (4 mM) + Glucose (3 mM),0.022917,,,,,,,,,,,,,,,,,,,,,,,,,
74,Amino acid mixture (4 mM) + Glucose (3 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
75,Amino acid mixture (4 mM) + Glucose (3 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
76,Amino acid mixture (4 mM) + Glucose (3 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
77,Amino acid mixture (4 mM) + Glucose (3 mM),0.021875,,,,,,,,,,,,,,,,,,,,,,,,,
78,Amino acid mixture (4 mM) + Glucose (3 mM),0.028125,,,,,,,,,,,,,,,,,,,,,,,,,
79,Amino acid mixture (4 mM) + Glucose (3 mM),0.028125,,,,,,,,,,,,,,,,,,,,,,,,,
80,Amino acid mixture (4 mM) + Glucose (3 mM),0.020833,,,,,,,,,,,,,,,,,,,,,,,,,
81,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.025,,,,,,,,,,,,,,,,,,,,,,,,,
