TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl),,,,
20,No stimuli,0.345833,16.4,500,,16.18,2352,-2.1357026,1.314582,33.089585,14.962496,26.859722,2.511919861,2.344106726,14.33240771,1.835073008,28.00250281,847.92,-247,-209,-183,532,4.192872117,0.110410095,0.301563663,1.496062992,4.494382022,,,,
21,No stimuli,0.347917,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.322222,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.285417,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.307639,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.291667,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.227778,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.255556,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.2875,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.247917,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.227778,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.23125,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.285417,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.658333,75.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.374306,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.3375,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.240972,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.177083,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.170139,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
